anchor,hyponym,class,stimulus
vegetable,jalapeno,taxonomic_low_sim,"Given that jalapenoes are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
animal,rhinoceros,taxonomic_high_sim,"Given that rhinos are daxable, is it true that animals are daxable? Answer with Yes/No:"
livestock,duck,taxonomic_low_sim,"Given that ducks are daxable, is it true that livestocks are daxable? Answer with Yes/No:"
jewelry,jewelry,taxonomic_high_sim,"Given that jewelry is daxable, is it true that jewelry is daxable? Answer with Yes/No:"
food,croissant,taxonomic_low_sim,"Given that croissants are daxable, is it true that food is daxable? Answer with Yes/No:"
breakfast,waffle,taxonomic_high_sim,"Given that waffles are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
kitchen equipment,coffeemaker,taxonomic_low_sim,"Given that coffeemakers are daxable, is it true that kitchen equipment are daxable? Answer with Yes/No:"
footwear,rollerblade,taxonomic_low_sim,"Given that rollerblades are daxable, is it true that footwears are daxable? Answer with Yes/No:"
clothing,shirt,taxonomic_high_sim,"Given that shirts are daxable, is it true that clothings are daxable? Answer with Yes/No:"
food,bell pepper,taxonomic_low_sim,"Given that bell peppers are daxable, is it true that food is daxable? Answer with Yes/No:"
jewelry,pocket watch,taxonomic_low_sim,"Given that pocket watches are daxable, is it true that jewelry is daxable? Answer with Yes/No:"
mammal,cow,taxonomic_low_sim,"Given that cows are daxable, is it true that mammals are daxable? Answer with Yes/No:"
vegetable,chive,taxonomic_low_sim,"Given that chives are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
weapon,knife,taxonomic_high_sim,"Given that knives are daxable, is it true that weapons are daxable? Answer with Yes/No:"
food,cornbread,taxonomic_low_sim,"Given that cornbread is daxable, is it true that food is daxable? Answer with Yes/No:"
container,duffel bag,taxonomic_high_sim,"Given that duffel bags are daxable, is it true that containers are daxable? Answer with Yes/No:"
tool,tool,taxonomic_high_sim,"Given that tools are daxable, is it true that tools are daxable? Answer with Yes/No:"
medical equipment,plaster cast,taxonomic_low_sim,"Given that plaster casts are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
kitchen tool,bottle opener,taxonomic_low_sim,"Given that bottle openers are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
tool,vise,taxonomic_high_sim,"Given that a vise is daxable, is it true that tools are daxable? Answer with Yes/No:"
outerwear,cloak,taxonomic_high_sim,"Given that cloaks are daxable, is it true that outerwear is daxable? Answer with Yes/No:"
fastener,velcro,taxonomic_low_sim,"Given that velcros are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
mammal,beaver,taxonomic_high_sim,"Given that beavers are daxable, is it true that mammals are daxable? Answer with Yes/No:"
furniture,shelf,taxonomic_low_sim,"Given that shelves are daxable, is it true that furniture is daxable? Answer with Yes/No:"
tool,curling iron,taxonomic_low_sim,"Given that curling irons are daxable, is it true that tools are daxable? Answer with Yes/No:"
clothing,headband,taxonomic_high_sim,"Given that headbands are daxable, is it true that clothings are daxable? Answer with Yes/No:"
mammal,cat,taxonomic_high_sim,"Given that cats are daxable, is it true that mammals are daxable? Answer with Yes/No:"
office supply,pen,taxonomic_low_sim,"Given that pens are daxable, is it true that office supplies are daxable? Answer with Yes/No:"
breakfast,yogurt,taxonomic_high_sim,"Given that yogurts are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
kitchen tool,whisk,taxonomic_high_sim,"Given that whisks are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
food,shrimp,taxonomic_high_sim,"Given that shrimps are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,spark plug,taxonomic_low_sim,"Given that spark plugs are daxable, is it true that tools are daxable? Answer with Yes/No:"
animal,koala,taxonomic_high_sim,"Given that koalas are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,maggot,taxonomic_low_sim,"Given that maggots are daxable, is it true that animals are daxable? Answer with Yes/No:"
container,dumpster,taxonomic_high_sim,"Given that dumpsters are daxable, is it true that containers are daxable? Answer with Yes/No:"
plant,aloe,taxonomic_high_sim,"Given that an aloe is daxable, is it true that plants are daxable? Answer with Yes/No:"
plant,clover,taxonomic_low_sim,"Given that clovers are daxable, is it true that plants are daxable? Answer with Yes/No:"
tool,backscratcher,taxonomic_high_sim,"Given that backscratchers are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,eggplant,taxonomic_high_sim,"Given that eggplants are daxable, is it true that food is daxable? Answer with Yes/No:"
drink,beer,taxonomic_high_sim,"Given that beer is daxable, is it true that drinks are daxable? Answer with Yes/No:"
tool,padlock,taxonomic_low_sim,"Given that padlocks are daxable, is it true that tools are daxable? Answer with Yes/No:"
plant,basil,taxonomic_low_sim,"Given that basils are daxable, is it true that plants are daxable? Answer with Yes/No:"
container,tupperware,taxonomic_high_sim,"Given that a tupperware is daxable, is it true that containers are daxable? Answer with Yes/No:"
breakfast,scrambled egg,taxonomic_low_sim,"Given that scrambled eggs are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
tool,poker,taxonomic_high_sim,"Given that pokers are daxable, is it true that tools are daxable? Answer with Yes/No:"
water vehicle,sailboat,taxonomic_high_sim,"Given that sailboats are daxable, is it true that water vehicles are daxable? Answer with Yes/No:"
drink,lemonade,taxonomic_low_sim,"Given that lemonades are daxable, is it true that drinks are daxable? Answer with Yes/No:"
container,briefcase,taxonomic_low_sim,"Given that briefcases are daxable, is it true that containers are daxable? Answer with Yes/No:"
kitchen tool,strainer,taxonomic_low_sim,"Given that strainers are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
vehicle,taxi,taxonomic_low_sim,"Given that taxis are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
food,spareribs,taxonomic_high_sim,"Given that spareribs are daxable, is it true that food is daxable? Answer with Yes/No:"
accessory,hat,taxonomic_high_sim,"Given that hats are daxable, is it true that accessories are daxable? Answer with Yes/No:"
animal,groundhog,taxonomic_low_sim,"Given that groundhogs are daxable, is it true that animals are daxable? Answer with Yes/No:"
auto part,handbrake,taxonomic_low_sim,"Given that handbrakes are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
medical equipment,first-aid kit,taxonomic_high_sim,"Given that first-aid kits are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
plant,grass,taxonomic_low_sim,"Given that grasses are daxable, is it true that plants are daxable? Answer with Yes/No:"
animal,crayfish,taxonomic_high_sim,"Given that crayfish are daxable, is it true that animals are daxable? Answer with Yes/No:"
electronic device,laptop,taxonomic_high_sim,"Given that laptops are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
container,hot-water bottle,taxonomic_high_sim,"Given that hot-water bottles are daxable, is it true that containers are daxable? Answer with Yes/No:"
home decor,lampshade,taxonomic_high_sim,"Given that lampshades are daxable, is it true that home decors are daxable? Answer with Yes/No:"
office supply,notepad,taxonomic_high_sim,"Given that notepads are daxable, is it true that office supplies are daxable? Answer with Yes/No:"
food,clam,taxonomic_high_sim,"Given that clams are daxable, is it true that food is daxable? Answer with Yes/No:"
auto part,sunroof,taxonomic_low_sim,"Given that sunroofs are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
insect,bee,taxonomic_high_sim,"Given that bees are daxable, is it true that insects are daxable? Answer with Yes/No:"
clothing,moccasin,taxonomic_low_sim,"Given that moccasins are daxable, is it true that clothings are daxable? Answer with Yes/No:"
plant,poinsettia,taxonomic_high_sim,"Given that poinsettias are daxable, is it true that plants are daxable? Answer with Yes/No:"
animal,otter,taxonomic_high_sim,"Given that otters are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,whipped cream,taxonomic_low_sim,"Given that whipped creams are daxable, is it true that food is daxable? Answer with Yes/No:"
animal,deer,taxonomic_high_sim,"Given that deers are daxable, is it true that animals are daxable? Answer with Yes/No:"
protective clothing,kneepad,taxonomic_low_sim,"Given that kneepads are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
musical instrument,tuba,taxonomic_low_sim,"Given that tubas are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
food,onion,taxonomic_high_sim,"Given that onions are daxable, is it true that food is daxable? Answer with Yes/No:"
fruit,plum,taxonomic_high_sim,"Given that plums are daxable, is it true that fruits are daxable? Answer with Yes/No:"
food,cereal,taxonomic_high_sim,"Given that cereals are daxable, is it true that food is daxable? Answer with Yes/No:"
furniture,throne,taxonomic_high_sim,"Given that a throne is daxable, is it true that furniture is daxable? Answer with Yes/No:"
electronic device,freezer,taxonomic_low_sim,"Given that freezers are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
food,gingerbread man,taxonomic_low_sim,"Given that gingerbread men are daxable, is it true that food is daxable? Answer with Yes/No:"
school supply,marker,taxonomic_high_sim,"Given that markers are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
clothing,kimono,taxonomic_low_sim,"Given that kimonos are daxable, is it true that clothings are daxable? Answer with Yes/No:"
breakfast,maple syrup,taxonomic_low_sim,"Given that maple syrups are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
food,sauce,taxonomic_high_sim,"Given that sauces are daxable, is it true that food is daxable? Answer with Yes/No:"
weapon,boomerang,taxonomic_low_sim,"Given that boomerangs are daxable, is it true that weapons are daxable? Answer with Yes/No:"
vegetable,celery,taxonomic_high_sim,"Given that celeries are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
musical instrument,ukulele,taxonomic_low_sim,"Given that ukuleles are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
toy,gyroscope,taxonomic_low_sim,"Given that gyroscopes are daxable, is it true that toys are daxable? Answer with Yes/No:"
home decor,frame,taxonomic_low_sim,"Given that frames are daxable, is it true that home decors are daxable? Answer with Yes/No:"
container,purse,taxonomic_high_sim,"Given that purses are daxable, is it true that containers are daxable? Answer with Yes/No:"
condiment,marmalade,taxonomic_high_sim,"Given that marmalade is daxable, is it true that condiments are daxable? Answer with Yes/No:"
fruit,lime,taxonomic_high_sim,"Given that limes are daxable, is it true that fruits are daxable? Answer with Yes/No:"
vehicle,jeep,taxonomic_high_sim,"Given that jeeps are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
food,spam,taxonomic_high_sim,"Given that spam is daxable, is it true that food is daxable? Answer with Yes/No:"
tool,funnel,taxonomic_high_sim,"Given that funnels are daxable, is it true that tools are daxable? Answer with Yes/No:"
headwear,headband,taxonomic_high_sim,"Given that headbands are daxable, is it true that headwears are daxable? Answer with Yes/No:"
container,basket,taxonomic_high_sim,"Given that baskets are daxable, is it true that containers are daxable? Answer with Yes/No:"
fastener,clasp,taxonomic_high_sim,"Given that clasps are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
water vehicle,jetski,taxonomic_low_sim,"Given that jetskis are daxable, is it true that water vehicles are daxable? Answer with Yes/No:"
electronic device,icemaker,taxonomic_low_sim,"Given that icemakers are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
electronic device,fan,taxonomic_low_sim,"Given that fans are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
electronic device,mixer,taxonomic_high_sim,"Given that mixers are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
bird,flamingo,taxonomic_low_sim,"Given that flamingoes are daxable, is it true that birds are daxable? Answer with Yes/No:"
tool,ladder,taxonomic_low_sim,"Given that ladders are daxable, is it true that tools are daxable? Answer with Yes/No:"
vegetable,asparagus,taxonomic_low_sim,"Given that an asparagus is daxable, is it true that vegetables are daxable? Answer with Yes/No:"
weapon,grenade,taxonomic_low_sim,"Given that grenades are daxable, is it true that weapons are daxable? Answer with Yes/No:"
tool,shovel,taxonomic_high_sim,"Given that shovels are daxable, is it true that tools are daxable? Answer with Yes/No:"
tool,wire,taxonomic_low_sim,"Given that wires are daxable, is it true that tools are daxable? Answer with Yes/No:"
vehicle,cart,taxonomic_high_sim,"Given that carts are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
game,scrabble,taxonomic_low_sim,"Given that scrabbles are daxable, is it true that games are daxable? Answer with Yes/No:"
container,measuring cup,taxonomic_low_sim,"Given that measuring cups are daxable, is it true that containers are daxable? Answer with Yes/No:"
bird,duck,taxonomic_high_sim,"Given that ducks are daxable, is it true that birds are daxable? Answer with Yes/No:"
furniture,bed,taxonomic_high_sim,"Given that beds are daxable, is it true that furniture is daxable? Answer with Yes/No:"
clothing,glove,taxonomic_high_sim,"Given that gloves are daxable, is it true that clothings are daxable? Answer with Yes/No:"
drink,punch,taxonomic_high_sim,"Given that punches are daxable, is it true that drinks are daxable? Answer with Yes/No:"
food,noodle,taxonomic_high_sim,"Given that noodles are daxable, is it true that food is daxable? Answer with Yes/No:"
plant,chive,taxonomic_low_sim,"Given that chives are daxable, is it true that plants are daxable? Answer with Yes/No:"
tool,bolt,taxonomic_high_sim,"Given that bolts are daxable, is it true that tools are daxable? Answer with Yes/No:"
animal,piglet,taxonomic_high_sim,"Given that piglets are daxable, is it true that animals are daxable? Answer with Yes/No:"
seafood,blowfish,taxonomic_low_sim,"Given that a blowfish is daxable, is it true that seafood is daxable? Answer with Yes/No:"
fastener,tape,taxonomic_low_sim,"Given that tapes are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
tool,faucet,taxonomic_low_sim,"Given that faucets are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,gum,taxonomic_low_sim,"Given that a gum is daxable, is it true that food is daxable? Answer with Yes/No:"
mammal,calf,taxonomic_low_sim,"Given that calves are daxable, is it true that mammals are daxable? Answer with Yes/No:"
animal,platypus,taxonomic_high_sim,"Given that platypuses are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,sloth,taxonomic_high_sim,"Given that sloths are daxable, is it true that animals are daxable? Answer with Yes/No:"
clothing,life jacket,taxonomic_high_sim,"Given that life jackets are daxable, is it true that clothings are daxable? Answer with Yes/No:"
kitchen equipment,food processor,taxonomic_high_sim,"Given that food processors are daxable, is it true that kitchen equipment are daxable? Answer with Yes/No:"
animal,vulture,taxonomic_low_sim,"Given that vultures are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,french fries,taxonomic_low_sim,"Given that french fries are daxable, is it true that food is daxable? Answer with Yes/No:"
furniture,cabinet,taxonomic_high_sim,"Given that cabinets are daxable, is it true that furniture is daxable? Answer with Yes/No:"
insect,ant,taxonomic_low_sim,"Given that ants are daxable, is it true that insects are daxable? Answer with Yes/No:"
home decor,wind chimes,taxonomic_low_sim,"Given that wind chimes are daxable, is it true that home decors are daxable? Answer with Yes/No:"
mammal,anteater,taxonomic_high_sim,"Given that anteaters are daxable, is it true that mammals are daxable? Answer with Yes/No:"
electronic device,record player,taxonomic_high_sim,"Given that record players are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
animal,tarantula,taxonomic_low_sim,"Given that tarantulas are daxable, is it true that animals are daxable? Answer with Yes/No:"
seafood,calamari,taxonomic_low_sim,"Given that calamari is daxable, is it true that seafood is daxable? Answer with Yes/No:"
container,terrarium,taxonomic_low_sim,"Given that terrariums are daxable, is it true that containers are daxable? Answer with Yes/No:"
furniture,dresser,taxonomic_high_sim,"Given that dressers are daxable, is it true that furniture is daxable? Answer with Yes/No:"
home decor,vase,taxonomic_high_sim,"Given that vases are daxable, is it true that home decors are daxable? Answer with Yes/No:"
mammal,bat,taxonomic_high_sim,"Given that bats are daxable, is it true that mammals are daxable? Answer with Yes/No:"
electronic device,toaster oven,taxonomic_low_sim,"Given that a toaster oven is daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
food,dough,taxonomic_low_sim,"Given that dough is daxable, is it true that food is daxable? Answer with Yes/No:"
home decor,abacus,taxonomic_high_sim,"Given that abacuses are daxable, is it true that home decors are daxable? Answer with Yes/No:"
animal,jellyfish,taxonomic_high_sim,"Given that jellyfish are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,wafer,taxonomic_low_sim,"Given that wafers are daxable, is it true that food is daxable? Answer with Yes/No:"
kitchen equipment,water filter,taxonomic_low_sim,"Given that water filters are daxable, is it true that kitchen equipment are daxable? Answer with Yes/No:"
animal,puppy,taxonomic_low_sim,"Given that puppies are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,parrot,taxonomic_high_sim,"Given that parrots are daxable, is it true that animals are daxable? Answer with Yes/No:"
auto part,wheel,taxonomic_low_sim,"Given that wheels are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
food,hamburger,taxonomic_high_sim,"Given that hamburgers are daxable, is it true that food is daxable? Answer with Yes/No:"
container,drawer,taxonomic_low_sim,"Given that drawers are daxable, is it true that containers are daxable? Answer with Yes/No:"
food,salad,taxonomic_low_sim,"Given that salads are daxable, is it true that food is daxable? Answer with Yes/No:"
food,scallion,taxonomic_high_sim,"Given that scallions are daxable, is it true that food is daxable? Answer with Yes/No:"
food,catfish,taxonomic_high_sim,"Given that a catfish is daxable, is it true that food is daxable? Answer with Yes/No:"
breakfast,bacon,taxonomic_low_sim,"Given that bacon is daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
animal,aardvark,taxonomic_high_sim,"Given that aardvarks are daxable, is it true that animals are daxable? Answer with Yes/No:"
accessory,bolo tie,taxonomic_low_sim,"Given that bolo ties are daxable, is it true that accessories are daxable? Answer with Yes/No:"
electronic device,water heater,taxonomic_low_sim,"Given that water heaters are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
food,piecrust,taxonomic_low_sim,"Given that piecrusts are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,crank,taxonomic_high_sim,"Given that cranks are daxable, is it true that tools are daxable? Answer with Yes/No:"
animal,ram,taxonomic_low_sim,"Given that rams are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,roll,taxonomic_low_sim,"Given that a roll is daxable, is it true that food is daxable? Answer with Yes/No:"
animal,bear,taxonomic_low_sim,"Given that bears are daxable, is it true that animals are daxable? Answer with Yes/No:"
furniture,cot,taxonomic_high_sim,"Given that cots are daxable, is it true that furniture is daxable? Answer with Yes/No:"
mammal,hippopotamus,taxonomic_high_sim,"Given that hippos are daxable, is it true that mammals are daxable? Answer with Yes/No:"
mammal,poodle,taxonomic_low_sim,"Given that poodles are daxable, is it true that mammals are daxable? Answer with Yes/No:"
tool,ladle,taxonomic_high_sim,"Given that ladles are daxable, is it true that tools are daxable? Answer with Yes/No:"
vegetable,chickpea,taxonomic_high_sim,"Given that a chickpea is daxable, is it true that vegetables are daxable? Answer with Yes/No:"
home decor,birdcage,taxonomic_low_sim,"Given that birdcages are daxable, is it true that home decors are daxable? Answer with Yes/No:"
home decor,christmas tree,taxonomic_high_sim,"Given that christmas trees are daxable, is it true that home decors are daxable? Answer with Yes/No:"
container,shaker,taxonomic_high_sim,"Given that shakers are daxable, is it true that containers are daxable? Answer with Yes/No:"
container,sarcophagus,taxonomic_low_sim,"Given that sarcophagi are daxable, is it true that containers are daxable? Answer with Yes/No:"
footwear,boot,taxonomic_high_sim,"Given that boots are daxable, is it true that footwears are daxable? Answer with Yes/No:"
animal,donkey,taxonomic_high_sim,"Given that donkeys are daxable, is it true that animals are daxable? Answer with Yes/No:"
kitchen equipment,juicer,taxonomic_low_sim,"Given that juicers are daxable, is it true that kitchen equipment are daxable? Answer with Yes/No:"
food,cotton candy,taxonomic_high_sim,"Given that cotton candies are daxable, is it true that food is daxable? Answer with Yes/No:"
candy,peppermint,taxonomic_high_sim,"Given that peppermints are daxable, is it true that candies are daxable? Answer with Yes/No:"
office supply,folder,taxonomic_low_sim,"Given that folders are daxable, is it true that office supplies are daxable? Answer with Yes/No:"
electronic device,slot machine,taxonomic_high_sim,"Given that slot machines are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
auto part,hubcap,taxonomic_high_sim,"Given that hubcaps are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
animal,gazelle,taxonomic_low_sim,"Given that gazelles are daxable, is it true that animals are daxable? Answer with Yes/No:"
jewelry,crown,taxonomic_low_sim,"Given that crowns are daxable, is it true that jewelry is daxable? Answer with Yes/No:"
clothing,spacesuit,taxonomic_low_sim,"Given that spacesuits are daxable, is it true that clothings are daxable? Answer with Yes/No:"
