anchor,hyponym,class
plant,orchid,taxonomic_high_sim
vegetable,jalapeno,taxonomic_low_sim
animal,rhinoceros,taxonomic_high_sim
livestock,duck,taxonomic_low_sim
jewelry,jewelry,taxonomic_high_sim
food,croissant,taxonomic_low_sim
breakfast,waffle,taxonomic_high_sim
kitchen equipment,coffeemaker,taxonomic_low_sim
footwear,rollerblade,taxonomic_low_sim
clothing,shirt,taxonomic_high_sim
food,bell pepper,taxonomic_low_sim
jewelry,pocket watch,taxonomic_low_sim
mammal,cow,taxonomic_low_sim
vegetable,chive,taxonomic_low_sim
weapon,knife,taxonomic_high_sim
food,cornbread,taxonomic_low_sim
container,duffel bag,taxonomic_high_sim
tool,tool,taxonomic_high_sim
medical equipment,plaster cast,taxonomic_low_sim
kitchen tool,bottle opener,taxonomic_low_sim
tool,vise,taxonomic_high_sim
outerwear,cloak,taxonomic_high_sim
fastener,velcro,taxonomic_low_sim
mammal,beaver,taxonomic_high_sim
furniture,shelf,taxonomic_low_sim
tool,curling iron,taxonomic_low_sim
clothing,headband,taxonomic_high_sim
mammal,cat,taxonomic_high_sim
office supply,pen,taxonomic_low_sim
breakfast,yogurt,taxonomic_high_sim
kitchen tool,whisk,taxonomic_high_sim
food,shrimp,taxonomic_high_sim
tool,spark plug,taxonomic_low_sim
animal,koala,taxonomic_high_sim
animal,maggot,taxonomic_low_sim
container,dumpster,taxonomic_high_sim
plant,aloe,taxonomic_high_sim
plant,clover,taxonomic_low_sim
tool,backscratcher,taxonomic_high_sim
food,eggplant,taxonomic_high_sim
drink,beer,taxonomic_high_sim
tool,padlock,taxonomic_low_sim
plant,basil,taxonomic_low_sim
container,tupperware,taxonomic_high_sim
breakfast,scrambled egg,taxonomic_low_sim
tool,poker,taxonomic_high_sim
water vehicle,sailboat,taxonomic_high_sim
drink,lemonade,taxonomic_low_sim
container,briefcase,taxonomic_low_sim
kitchen tool,strainer,taxonomic_low_sim
vehicle,taxi,taxonomic_low_sim
food,spareribs,taxonomic_high_sim
accessory,hat,taxonomic_high_sim
animal,groundhog,taxonomic_low_sim
auto part,handbrake,taxonomic_low_sim
medical equipment,first-aid kit,taxonomic_high_sim
plant,grass,taxonomic_low_sim
animal,crayfish,taxonomic_high_sim
electronic device,laptop,taxonomic_high_sim
container,hot-water bottle,taxonomic_high_sim
home decor,lampshade,taxonomic_high_sim
office supply,notepad,taxonomic_high_sim
food,clam,taxonomic_high_sim
auto part,sunroof,taxonomic_low_sim
insect,bee,taxonomic_high_sim
clothing,moccasin,taxonomic_low_sim
plant,poinsettia,taxonomic_high_sim
animal,otter,taxonomic_high_sim
food,whipped cream,taxonomic_low_sim
animal,deer,taxonomic_high_sim
protective clothing,kneepad,taxonomic_low_sim
musical instrument,tuba,taxonomic_low_sim
food,onion,taxonomic_high_sim
fruit,plum,taxonomic_high_sim
food,cereal,taxonomic_high_sim
furniture,throne,taxonomic_high_sim
electronic device,freezer,taxonomic_low_sim
food,gingerbread man,taxonomic_low_sim
school supply,marker,taxonomic_high_sim
clothing,kimono,taxonomic_low_sim
breakfast,maple syrup,taxonomic_low_sim
food,sauce,taxonomic_high_sim
weapon,boomerang,taxonomic_low_sim
vegetable,celery,taxonomic_high_sim
musical instrument,ukulele,taxonomic_low_sim
toy,gyroscope,taxonomic_low_sim
home decor,frame,taxonomic_low_sim
container,purse,taxonomic_high_sim
condiment,marmalade,taxonomic_high_sim
fruit,lime,taxonomic_high_sim
vehicle,jeep,taxonomic_high_sim
food,spam,taxonomic_high_sim
tool,funnel,taxonomic_high_sim
headwear,headband,taxonomic_high_sim
container,basket,taxonomic_high_sim
fastener,clasp,taxonomic_high_sim
water vehicle,jetski,taxonomic_low_sim
electronic device,icemaker,taxonomic_low_sim
electronic device,fan,taxonomic_low_sim
electronic device,mixer,taxonomic_high_sim
bird,flamingo,taxonomic_low_sim
tool,ladder,taxonomic_low_sim
vegetable,asparagus,taxonomic_low_sim
weapon,grenade,taxonomic_low_sim
tool,shovel,taxonomic_high_sim
tool,wire,taxonomic_low_sim
vehicle,cart,taxonomic_high_sim
game,scrabble,taxonomic_low_sim
container,measuring cup,taxonomic_low_sim
bird,duck,taxonomic_high_sim
furniture,bed,taxonomic_high_sim
clothing,glove,taxonomic_high_sim
drink,punch,taxonomic_high_sim
food,noodle,taxonomic_high_sim
plant,chive,taxonomic_low_sim
tool,bolt,taxonomic_high_sim
animal,piglet,taxonomic_high_sim
seafood,blowfish,taxonomic_low_sim
fastener,tape,taxonomic_low_sim
tool,faucet,taxonomic_low_sim
food,gum,taxonomic_low_sim
mammal,calf,taxonomic_low_sim
animal,platypus,taxonomic_high_sim
animal,sloth,taxonomic_high_sim
clothing,life jacket,taxonomic_high_sim
kitchen equipment,food processor,taxonomic_high_sim
animal,vulture,taxonomic_low_sim
food,french fries,taxonomic_low_sim
furniture,cabinet,taxonomic_high_sim
insect,ant,taxonomic_low_sim
home decor,wind chimes,taxonomic_low_sim
mammal,anteater,taxonomic_high_sim
electronic device,record player,taxonomic_high_sim
animal,tarantula,taxonomic_low_sim
seafood,calamari,taxonomic_low_sim
container,terrarium,taxonomic_low_sim
furniture,dresser,taxonomic_high_sim
home decor,vase,taxonomic_high_sim
mammal,bat,taxonomic_high_sim
electronic device,toaster oven,taxonomic_low_sim
food,dough,taxonomic_low_sim
home decor,abacus,taxonomic_high_sim
animal,jellyfish,taxonomic_high_sim
food,wafer,taxonomic_low_sim
kitchen equipment,water filter,taxonomic_low_sim
animal,puppy,taxonomic_low_sim
animal,parrot,taxonomic_high_sim
auto part,wheel,taxonomic_low_sim
food,hamburger,taxonomic_high_sim
container,drawer,taxonomic_low_sim
food,salad,taxonomic_low_sim
food,scallion,taxonomic_high_sim
food,catfish,taxonomic_high_sim
breakfast,bacon,taxonomic_low_sim
animal,aardvark,taxonomic_high_sim
accessory,bolo tie,taxonomic_low_sim
electronic device,water heater,taxonomic_low_sim
food,piecrust,taxonomic_low_sim
tool,crank,taxonomic_high_sim
animal,ram,taxonomic_low_sim
food,roll,taxonomic_low_sim
animal,bear,taxonomic_low_sim
furniture,cot,taxonomic_high_sim
mammal,hippopotamus,taxonomic_high_sim
mammal,poodle,taxonomic_low_sim
tool,ladle,taxonomic_high_sim
vegetable,chickpea,taxonomic_high_sim
home decor,birdcage,taxonomic_low_sim
home decor,christmas tree,taxonomic_high_sim
container,shaker,taxonomic_high_sim
container,sarcophagus,taxonomic_low_sim
footwear,boot,taxonomic_high_sim
animal,donkey,taxonomic_high_sim
kitchen equipment,juicer,taxonomic_low_sim
food,cotton candy,taxonomic_high_sim
candy,peppermint,taxonomic_high_sim
office supply,folder,taxonomic_low_sim
electronic device,slot machine,taxonomic_high_sim
auto part,hubcap,taxonomic_high_sim
animal,gazelle,taxonomic_low_sim
jewelry,crown,taxonomic_low_sim
clothing,spacesuit,taxonomic_low_sim
animal,dolphin,taxonomic_high_sim
tool,cleaver,taxonomic_high_sim
sea animal,octopus,taxonomic_low_sim
food,wedding cake,taxonomic_low_sim
breakfast,toast,taxonomic_low_sim
mammal,zebra,taxonomic_low_sim
condiment,ginger,taxonomic_low_sim
dessert,souffle,taxonomic_low_sim
home decor,doily,taxonomic_high_sim
animal,lizard,taxonomic_high_sim
vegetable,broccoli,taxonomic_high_sim
electronic device,pinball,taxonomic_low_sim
fastener,barrette,taxonomic_high_sim
mammal,rat,taxonomic_high_sim
footwear,shoe,taxonomic_high_sim
fruit,star fruit,taxonomic_low_sim
garden tool,shovel,taxonomic_low_sim
electronic device,washing machine,taxonomic_high_sim
insect,earwig,taxonomic_low_sim
weapon,dynamite,taxonomic_low_sim
plant,asparagus,taxonomic_low_sim
toy,lego,taxonomic_low_sim
food,parsley,taxonomic_low_sim
office supply,notebook,taxonomic_low_sim
candy,lollipop,taxonomic_low_sim
container,goblet,taxonomic_low_sim
food,brownie,taxonomic_high_sim
tool,doorknocker,taxonomic_low_sim
container,pitcher,taxonomic_high_sim
fastener,gasket,taxonomic_low_sim
tool,blowtorch,taxonomic_low_sim
fruit,blackberry,taxonomic_low_sim
electronic device,tape recorder,taxonomic_low_sim
animal,chihuahua,taxonomic_low_sim
container,locker,taxonomic_high_sim
tool,file,taxonomic_low_sim
vehicle,rocket,taxonomic_low_sim
home decor,globe,taxonomic_high_sim
mammal,badger,taxonomic_high_sim
drink,hot chocolate,taxonomic_high_sim
vehicle,bulldozer,taxonomic_low_sim
office supply,fountain pen,taxonomic_low_sim
candy,candy cane,taxonomic_high_sim
animal,lamb,taxonomic_low_sim
dessert,parfait,taxonomic_low_sim
kitchen equipment,burner,taxonomic_low_sim
breakfast,oatmeal,taxonomic_high_sim
food,coconut,taxonomic_high_sim
seafood,swordfish,taxonomic_high_sim
food,mustard,taxonomic_low_sim
container,suitcase,taxonomic_high_sim
animal,reindeer,taxonomic_high_sim
accessory,mitten,taxonomic_low_sim
tool,watering can,taxonomic_high_sim
sea animal,turtle,taxonomic_low_sim
plant,apple tree,taxonomic_high_sim
plant,mint,taxonomic_high_sim
livestock,cow,taxonomic_low_sim
dessert,sorbet,taxonomic_high_sim
school supply,crayon,taxonomic_high_sim
jewelry,locket,taxonomic_high_sim
accessory,watch,taxonomic_low_sim
furniture,rack,taxonomic_low_sim
food,almond,taxonomic_high_sim
animal,duckling,taxonomic_low_sim
food,cabbage,taxonomic_low_sim
kitchen tool,tongs,taxonomic_low_sim
food,popsicle,taxonomic_high_sim
animal,crab,taxonomic_low_sim
game,chessboard,taxonomic_low_sim
fastener,lock,taxonomic_low_sim
food,egg,taxonomic_high_sim
sea animal,eel,taxonomic_high_sim
kitchen equipment,hotplate,taxonomic_low_sim
animal,cockroach,taxonomic_high_sim
toiletry,nail clippers,taxonomic_high_sim
mammal,bison,taxonomic_low_sim
tool,doorhandle,taxonomic_low_sim
electronic device,incubator,taxonomic_low_sim
garden tool,hose,taxonomic_low_sim
container,urn,taxonomic_low_sim
home decor,wreath,taxonomic_high_sim
tool,mallet,taxonomic_high_sim
tool,switch,taxonomic_low_sim
weapon,revolver,taxonomic_high_sim
game,pinball,taxonomic_high_sim
home decor,curtain,taxonomic_high_sim
accessory,bonnet,taxonomic_low_sim
dessert,ice-cream cone,taxonomic_low_sim
food,jalapeno,taxonomic_low_sim
tool,tape measure,taxonomic_low_sim
kitchen tool,measuring cup,taxonomic_low_sim
vehicle,camper,taxonomic_low_sim
plant,tree,taxonomic_high_sim
food,scrambled egg,taxonomic_low_sim
mammal,weasel,taxonomic_low_sim
animal,warthog,taxonomic_high_sim
container,bin,taxonomic_high_sim
electronic device,music box,taxonomic_high_sim
tool,peeler,taxonomic_high_sim
kitchen tool,grinder,taxonomic_high_sim
office supply,scissors,taxonomic_high_sim
electronic device,chainsaw,taxonomic_low_sim
animal,squirrel,taxonomic_high_sim
container,shopping basket,taxonomic_high_sim
clothing,shawl,taxonomic_high_sim
auto part,headlight,taxonomic_high_sim
tool,tool,taxonomic_high_sim
vehicle,airboat,taxonomic_low_sim
furniture,step stool,taxonomic_low_sim
tool,vise,taxonomic_high_sim
accessory,glasses,taxonomic_high_sim
food,cupcake,taxonomic_low_sim
plant,broccoli,taxonomic_high_sim
food,goose,taxonomic_high_sim
tool,knob,taxonomic_low_sim
food,cantaloupe,taxonomic_high_sim
women's clothing,tiara,taxonomic_high_sim
dessert,pastry,taxonomic_high_sim
vegetable,squash,taxonomic_high_sim
animal,grasshopper,taxonomic_low_sim
fruit,pomegranate,taxonomic_high_sim
animal,raccoon,taxonomic_high_sim
home decor,candle,taxonomic_low_sim
auto part,car door,taxonomic_high_sim
garden tool,lawnmower,taxonomic_high_sim
office supply,eraser,taxonomic_low_sim
tool,razor,taxonomic_low_sim
mammal,mongoose,taxonomic_low_sim
container,water bottle,taxonomic_low_sim
animal,horse,taxonomic_high_sim
breakfast,peanut butter,taxonomic_low_sim
container,cup,taxonomic_high_sim
vegetable,sprouts,taxonomic_high_sim
toiletry,hairbrush,taxonomic_high_sim
tool,punch,taxonomic_high_sim
animal,wasp,taxonomic_low_sim
container,barrel,taxonomic_high_sim
clothing,sandal,taxonomic_low_sim
tool,polisher,taxonomic_high_sim
animal,fish,taxonomic_high_sim
office supply,binder,taxonomic_high_sim
clothing,slipper,taxonomic_low_sim
tool,eggbeater,taxonomic_low_sim
weapon,crowbar,taxonomic_low_sim
sea animal,stingray,taxonomic_low_sim
women's clothing,kimono,taxonomic_low_sim
food,grapefruit,taxonomic_low_sim
animal,barnacle,taxonomic_low_sim
protective clothing,apron,taxonomic_low_sim
tool,icepick,taxonomic_low_sim
protective clothing,helmet,taxonomic_high_sim
water vehicle,torpedo,taxonomic_low_sim
electronic device,microphone,taxonomic_high_sim
school supply,glue,taxonomic_low_sim
electronic device,dryer,taxonomic_low_sim
food,mashed potato,taxonomic_low_sim
container,lunchbox,taxonomic_high_sim
tool,chisel,taxonomic_high_sim
food,lasagna,taxonomic_high_sim
plant,rose,taxonomic_high_sim
food,fruit,taxonomic_high_sim
toiletry,clipper,taxonomic_low_sim
animal,flamingo,taxonomic_low_sim
seafood,squid,taxonomic_low_sim
electronic device,cooker,taxonomic_low_sim
vegetable,potato,taxonomic_low_sim
breakfast,scone,taxonomic_high_sim
clothing,bracelet,taxonomic_high_sim
toy,balloon,taxonomic_low_sim
food,baklava,taxonomic_low_sim
vehicle,hearse,taxonomic_low_sim
tool,marker,taxonomic_high_sim
container,jar,taxonomic_high_sim
tool,hinge,taxonomic_low_sim
food,pineapple,taxonomic_high_sim
game,yo-yo,taxonomic_low_sim
bird,cardinal,taxonomic_low_sim
tool,soldering iron,taxonomic_high_sim
food,eclair,taxonomic_low_sim
electronic device,jukebox,taxonomic_high_sim
container,kettle,taxonomic_low_sim
animal,chipmunk,taxonomic_low_sim
dessert,muffin,taxonomic_high_sim
animal,gorilla,taxonomic_low_sim
tool,valve,taxonomic_low_sim
animal,duck,taxonomic_low_sim
clothing,pantsuit,taxonomic_high_sim
condiment,jam,taxonomic_low_sim
food,breadstick,taxonomic_high_sim
container,fishbowl,taxonomic_high_sim
food,biscuit,taxonomic_high_sim
tool,button,taxonomic_low_sim
food,celery,taxonomic_high_sim
vehicle,chariot,taxonomic_high_sim
food,spring roll,taxonomic_low_sim
plant,hedge,taxonomic_low_sim
animal,lion,taxonomic_high_sim
bird,puffin,taxonomic_low_sim
tool,ladder,taxonomic_low_sim
tool,pencil,taxonomic_low_sim
animal,worm,taxonomic_low_sim
office supply,envelope,taxonomic_high_sim
electronic device,juicer,taxonomic_low_sim
plant,bush,taxonomic_high_sim
container,chest,taxonomic_low_sim
plant,ivy,taxonomic_low_sim
container,vial,taxonomic_high_sim
animal,kangaroo,taxonomic_low_sim
furniture,coat rack,taxonomic_low_sim
toy,robot,taxonomic_low_sim
food,bacon,taxonomic_low_sim
electronic device,printer,taxonomic_high_sim
seafood,crayfish,taxonomic_high_sim
animal,guinea pig,taxonomic_high_sim
breakfast,cream cheese,taxonomic_low_sim
tool,chainsaw,taxonomic_low_sim
seafood,oyster,taxonomic_low_sim
accessory,brooch,taxonomic_high_sim
outerwear,coverall,taxonomic_high_sim
fruit,raspberry,taxonomic_high_sim
vehicle,airplane,taxonomic_high_sim
protective clothing,glove,taxonomic_low_sim
tool,lightbulb,taxonomic_low_sim
tool,corkscrew,taxonomic_low_sim
electronic device,blender,taxonomic_low_sim
mammal,polar bear,taxonomic_low_sim
musical instrument,drum,taxonomic_high_sim
animal,bull,taxonomic_low_sim
container,crate,taxonomic_high_sim
food,casserole,taxonomic_high_sim
tool,hoe,taxonomic_high_sim
water vehicle,speedboat,taxonomic_high_sim
food,ready meal,taxonomic_high_sim
musical instrument,piano,taxonomic_high_sim
electronic device,refrigerator,taxonomic_high_sim
animal,hummingbird,taxonomic_low_sim
electronic device,electric chair,taxonomic_low_sim
clothing,clothes,taxonomic_high_sim
weapon,pocketknife,taxonomic_low_sim
outerwear,jacket,taxonomic_low_sim
seafood,lobster,taxonomic_high_sim
food,lettuce,taxonomic_high_sim
animal,cobra,taxonomic_low_sim
container,mailbox,taxonomic_high_sim
tool,knife,taxonomic_high_sim
vegetable,cauliflower,taxonomic_low_sim
electronic device,shredder,taxonomic_low_sim
seafood,scallop,taxonomic_high_sim
vehicle,train,taxonomic_low_sim
headwear,hat,taxonomic_high_sim
tool,crank,taxonomic_high_sim
clothing,eye patch,taxonomic_low_sim
animal,pigeon,taxonomic_low_sim
bird,pelican,taxonomic_high_sim
mammal,monkey,taxonomic_high_sim
weapon,pitchfork,taxonomic_low_sim
animal,pig,taxonomic_low_sim
furniture,table,taxonomic_high_sim
water vehicle,gondola,taxonomic_high_sim
dessert,crepe,taxonomic_high_sim
plant,flower,taxonomic_high_sim
furniture,chair,taxonomic_low_sim
tool,spatula,taxonomic_high_sim
vegetable,brussels sprouts,taxonomic_low_sim
food,spinach,taxonomic_high_sim
vehicle,subway,taxonomic_low_sim
container,birdcage,taxonomic_high_sim
container,paper bag,taxonomic_high_sim
toiletry,toothbrush,taxonomic_low_sim
food,hummus,taxonomic_low_sim
office supply,paperclip,taxonomic_high_sim
home decor,figurine,taxonomic_high_sim
plant,weed,taxonomic_high_sim
school supply,paper,taxonomic_low_sim
food,snack,taxonomic_high_sim
weapon,baseball bat,taxonomic_low_sim
food,calzone,taxonomic_high_sim
mammal,ferret,taxonomic_high_sim
seafood,jellyfish,taxonomic_low_sim
container,nightstand,taxonomic_low_sim
clothing,bolo tie,taxonomic_low_sim
vehicle,wheelchair,taxonomic_low_sim
animal,blowfish,taxonomic_low_sim
drink,margarita,taxonomic_low_sim
food,oatmeal,taxonomic_high_sim
office supply,highlighter,taxonomic_high_sim
food,patty,taxonomic_high_sim
vegetable,okra,taxonomic_high_sim
tool,paintbrush,taxonomic_high_sim
tool,plunger,taxonomic_high_sim
auto part,rearview mirror,taxonomic_low_sim
accessory,glove,taxonomic_high_sim
vegetable,corn,taxonomic_low_sim
animal,hyena,taxonomic_high_sim
animal,seal,taxonomic_high_sim
electronic device,sewing machine,taxonomic_high_sim
garden tool,chainsaw,taxonomic_low_sim
fruit,fig,taxonomic_high_sim
dessert,cookie,taxonomic_high_sim
dessert,dessert,taxonomic_high_sim
condiment,ketchup,taxonomic_high_sim
sea animal,jellyfish,taxonomic_low_sim
food,meat,taxonomic_high_sim
bird,cockatoo,taxonomic_high_sim
accessory,top hat,taxonomic_low_sim
mammal,gopher,taxonomic_low_sim
animal,dog,taxonomic_high_sim
outerwear,cape,taxonomic_low_sim
accessory,belt,taxonomic_low_sim
tool,file,taxonomic_low_sim
auto part,taillight,taxonomic_high_sim
livestock,bison,taxonomic_low_sim
fruit,orange,taxonomic_low_sim
tool,shovel,taxonomic_high_sim
weapon,blowgun,taxonomic_high_sim
electronic device,remote control,taxonomic_high_sim
food,calamari,taxonomic_low_sim
tool,pencil sharpener,taxonomic_high_sim
animal,possum,taxonomic_high_sim
musical instrument,accordion,taxonomic_high_sim
toy,beachball,taxonomic_low_sim
livestock,rooster,taxonomic_low_sim
mammal,goat,taxonomic_low_sim
women's clothing,skirt,taxonomic_low_sim
food,gumball,taxonomic_low_sim
office supply,thumbtack,taxonomic_high_sim
food,avocado,taxonomic_high_sim
food,clove,taxonomic_low_sim
breakfast,cereal,taxonomic_low_sim
food,seaweed,taxonomic_high_sim
food,taffy,taxonomic_low_sim
livestock,turkey,taxonomic_high_sim
food,stew,taxonomic_high_sim
animal,frog,taxonomic_high_sim
vehicle,raft,taxonomic_low_sim
furniture,filing cabinet,taxonomic_high_sim
vehicle,stroller,taxonomic_high_sim
food,octopus,taxonomic_low_sim
plant,palm tree,taxonomic_high_sim
kitchen tool,kettle,taxonomic_low_sim
toy,music box,taxonomic_low_sim
food,apple,taxonomic_low_sim
kitchen tool,pepper mill,taxonomic_low_sim
animal,ladybug,taxonomic_low_sim
vehicle,kayak,taxonomic_low_sim
clothing,fur coat,taxonomic_low_sim
food,kebab,taxonomic_high_sim
container,honeypot,taxonomic_low_sim
food,tamale,taxonomic_low_sim
footwear,rollerskate,taxonomic_low_sim
food,sauerkraut,taxonomic_low_sim
mammal,sheep,taxonomic_low_sim
animal,beetle,taxonomic_low_sim
animal,goldfish,taxonomic_low_sim
bird,seagull,taxonomic_high_sim
tool,coil,taxonomic_high_sim
furniture,chest,taxonomic_high_sim
food,sundae,taxonomic_low_sim
vehicle,sailboat,taxonomic_low_sim
food,enchilada,taxonomic_low_sim
game,checkers,taxonomic_high_sim
weapon,cannon,taxonomic_high_sim
tool,mallet,taxonomic_high_sim
tool,quill,taxonomic_low_sim
mammal,giraffe,taxonomic_high_sim
footwear,sock,taxonomic_high_sim
clothing,mitten,taxonomic_low_sim
kitchen equipment,microwave,taxonomic_high_sim
auto part,pedal,taxonomic_low_sim
animal,llama,taxonomic_high_sim
container,mold,taxonomic_low_sim
electronic device,polygraph,taxonomic_low_sim
vegetable,beet,taxonomic_high_sim
fruit,raisin,taxonomic_low_sim
food,string cheese,taxonomic_low_sim
water vehicle,submarine,taxonomic_low_sim
toy,ball,taxonomic_high_sim
clothing,stockings,taxonomic_low_sim
kitchen tool,timer,taxonomic_low_sim
tool,clasp,taxonomic_low_sim
food,butter,taxonomic_high_sim
weapon,flamethrower,taxonomic_high_sim
footwear,moccasin,taxonomic_low_sim
furniture,air mattress,taxonomic_low_sim
breakfast,french fries,taxonomic_low_sim
food,kiwi,taxonomic_low_sim
container,watering can,taxonomic_high_sim
electronic device,jackhammer,taxonomic_low_sim
weapon,cannonball,taxonomic_high_sim
vehicle,ambulance,taxonomic_high_sim
fastener,button,taxonomic_low_sim
tool,hose,taxonomic_low_sim
musical instrument,trumpet,taxonomic_low_sim
food,breakfast,taxonomic_high_sim
food,batter,taxonomic_high_sim
medical equipment,penlight,taxonomic_low_sim
outerwear,raincoat,taxonomic_high_sim
food,pudding,taxonomic_high_sim
container,sandbag,taxonomic_low_sim
animal,swordfish,taxonomic_low_sim
home decor,scarecrow,taxonomic_high_sim
kitchen tool,nutcracker,taxonomic_low_sim
livestock,rabbit,taxonomic_high_sim
fastener,hairpin,taxonomic_low_sim
tool,sickle,taxonomic_high_sim
electronic device,modem,taxonomic_high_sim
food,curry,taxonomic_low_sim
food,grain,taxonomic_high_sim
plant,corn,taxonomic_low_sim
food,pistachio,taxonomic_low_sim
tool,pliers,taxonomic_high_sim
breakfast,donut,taxonomic_high_sim
plant,poppy,taxonomic_low_sim
accessory,insole,taxonomic_high_sim
seafood,sardine,taxonomic_low_sim
breakfast,roll,taxonomic_low_sim
animal,cheetah,taxonomic_high_sim
medical equipment,bedpan,taxonomic_high_sim
kitchen equipment,toaster oven,taxonomic_high_sim
animal,pug,taxonomic_low_sim
livestock,goose,taxonomic_high_sim
food,eel,taxonomic_high_sim
clothing,costume,taxonomic_high_sim
tool,gear,taxonomic_low_sim
auto part,engine,taxonomic_low_sim
mammal,coyote,taxonomic_low_sim
school supply,book,taxonomic_low_sim
toy,toy,taxonomic_high_sim
sea animal,crab,taxonomic_low_sim
animal,toad,taxonomic_high_sim
school supply,ink,taxonomic_high_sim
insect,caterpillar,taxonomic_low_sim
condiment,gravy,taxonomic_high_sim
animal,coral,taxonomic_low_sim
tool,chisel,taxonomic_high_sim
food,quiche,taxonomic_high_sim
weapon,axe,taxonomic_high_sim
food,grits,taxonomic_high_sim
drink,cocktail,taxonomic_low_sim
toy,pogo stick,taxonomic_high_sim
food,shortbread,taxonomic_low_sim
weapon,brass knuckles,taxonomic_high_sim
furniture,nightstand,taxonomic_low_sim
fastener,screw,taxonomic_high_sim
medical equipment,eye patch,taxonomic_low_sim
food,pizza,taxonomic_high_sim
mammal,cougar,taxonomic_low_sim
fastener,rubber band,taxonomic_low_sim
bird,rooster,taxonomic_low_sim
vehicle,sled,taxonomic_high_sim
tool,bracket,taxonomic_low_sim
outerwear,jumpsuit,taxonomic_high_sim
tool,soldering iron,taxonomic_high_sim
jewelry,watch,taxonomic_low_sim
kitchen tool,rolling pin,taxonomic_low_sim
bird,turkey,taxonomic_low_sim
dessert,banana split,taxonomic_low_sim
bird,peacock,taxonomic_high_sim
dessert,flan,taxonomic_low_sim
toiletry,perfume,taxonomic_low_sim
auto part,speedometer,taxonomic_high_sim
tool,key,taxonomic_high_sim
mammal,boar,taxonomic_low_sim
container,breadbox,taxonomic_high_sim
tool,penlight,taxonomic_low_sim
vehicle,cruise ship,taxonomic_low_sim
container,ballot box,taxonomic_low_sim
fruit,watermelon,taxonomic_low_sim
fruit,cranberry,taxonomic_low_sim
musical instrument,kazoo,taxonomic_low_sim
medical equipment,pillbox,taxonomic_low_sim
candy,cotton candy,taxonomic_high_sim
container,box,taxonomic_high_sim
clothing,chaps,taxonomic_high_sim
water vehicle,yacht,taxonomic_high_sim
accessory,shawl,taxonomic_low_sim
protective clothing,wetsuit,taxonomic_low_sim
fastener,safety pin,taxonomic_low_sim
outerwear,lab coat,taxonomic_low_sim
tool,strainer,taxonomic_low_sim
vehicle,dirt bike,taxonomic_low_sim
tool,drill,taxonomic_high_sim
container,hot tub,taxonomic_low_sim
auto part,windshield,taxonomic_high_sim
food,artichoke,taxonomic_high_sim
