lemma,plural,article
rocking chair,rocking chairs,a rocking chair
gavel,gavels,a gavel
dresser,dressers,a dresser
washing machine,washing machines,a washing machine
jeans,jean,a jeans
urn,urns,an urn
cart,carts,a cart
hot-water bottle,hot-water bottles,a hot-water bottle
cordon bleu,cordon bleus,a cordon bleu
produce,produces,a produce
rattlesnake,rattlesnakes,a rattlesnake
apple tree,apple trees,an apple tree
tweezers,tweezer,a tweezers
granola,granolas,a granola
popsicle,popsicles,a popsicle
throne,thrones,a throne
turtleneck,turtlenecks,a turtleneck
knot,knots,a knot
perfume,perfumes,a perfume
xylophone,xylophones,a xylophone
quiche,quiches,a quiche
boar,boars,a boar
wineglass,wineglasses,a wineglass
buffet,buffets,a buffet
turkey,turkeys,a turkey
face mask,face masks,a face mask
taxi,taxis,a taxi
toaster oven,toaster ovens,a toaster oven
furniture,furniture,a furniture
sausage,sausages,a sausage
air conditioner,air conditioners,an air conditioner
tree,trees,a tree
tie,ties,a tie
salami,salamis,a salami
floss,flosses,a floss
minivan,minivans,a minivan
lemon,lemons,a lemon
auto part,auto parts,an auto part
artifact,artifacts,an artifact
home appliance,home appliances,a home appliance
backgammon,backgammons,a backgammon
hairnet,hairnets,a hairnet
eyedropper,eyedroppers,an eyedropper
bolt,bolts,a bolt
lampshade,lampshades,a lampshade
vest,vests,a vest
water filter,water filters,a water filter
frame,frames,a frame
recorder,recorders,a recorder
pine tree,pine trees,a pine tree
gyroscope,gyroscopes,a gyroscope
pizza,pizzas,a pizza
bedpan,bedpans,a bedpan
bird,birds,a bird
moccasin,moccasins,a moccasin
swordfish,swordfish,a swordfish
bonnet,bonnets,a bonnet
wrap,wraps,a wrap
activity,activities,an activity
birdbath,birdbaths,a birdbath
toad,toads,a toad
handkerchief,handkerchiefs,a handkerchief
forklift,forklifts,a forklift
pretzel,pretzels,a pretzel
highchair,highchairs,a highchair
needle,needles,a needle
toothpick,toothpicks,a toothpick
nightstand,nightstands,a nightstand
bathrobe,bathrobes,a bathrobe
frog,frogs,a frog
revolver,revolvers,a revolver
kebab,kebabs,a kebab
skewer,skewers,a skewer
lamp,lamps,a lamp
crystal ball,crystal balls,a crystal ball
curling iron,curling irons,a curling iron
daisy,daisies,a daisy
turban,turbans,a turban
monkey,monkeys,a monkey
ambulance,ambulances,an ambulance
desk,desks,a desk
firetruck,firetrucks,a firetruck
snowmobile,snowmobiles,a snowmobile
sandal,sandals,a sandal
comb,combs,a comb
van,vans,a van
bra,bras,a bra
headband,headbands,a headband
musical instrument,musical instruments,a musical instrument
trombone,trombones,a trombone
ink,inks,an ink
hedge,hedges,a hedge
olive,olives,an olive
scallop,scallops,a scallop
button,buttons,a button
joystick,joysticks,a joystick
badger,badgers,a badger
boxer shorts,boxer shortss,a boxer shorts
honey,honeys,a honey
flask,flasks,a flask
flour,flours,a flour
garbage truck,garbage trucks,a garbage truck
bulletproof vest,bulletproof vests,a bulletproof vest
kangaroo,kangaroos,a kangaroo
wire cutters,wire cutterss,a wire cutters
webcam,webcams,a webcam
sunflower,sunflowers,a sunflower
food,foods,a food
tricycle,tricycles,a tricycle
tomato sauce,tomato sauces,a tomato sauce
purse,purses,a purse
duck,ducks,a duck
television,televisions,a television
fondue,fondues,a fondue
platypus,platypuses,a platypus
pillbox,pillboxes,a pillbox
fork,forks,a fork
cake mix,cake mixes,a cake mix
tape measure,tape measures,a tape measure
electronic device,electronic devices,an electronic device
go-kart,go-karts,a go-kart
dog,dogs,a dog
peach,peaches,a peach
puppet,puppets,a puppet
onion,onions,an onion
container,containers,a container
food product,food products,a food product
smoke alarm,smoke alarms,a smoke alarm
gondola,gondolas,a gondola
pea,peas,a pea
garter,garters,a garter
egg,eggs,an egg
rocking horse,rocking horses,a rocking horse
icemaker,icemakers,an icemaker
belt,belts,a belt
rickshaw,rickshaws,a rickshaw
bassinet,bassinets,a bassinet
headdress,headdresses,a headdress
chain,chains,a chain
orchid,orchids,an orchid
jetski,jetskis,a jetski
whip,whips,a whip
grenade,grenades,a grenade
ticktacktoe,ticktacktoes,a ticktacktoe
water vehicle,water vehicles,a water vehicle
llama,llamas,a llama
storage,storages,a storage
grape,grapes,a grape
easter egg,easter eggs,an easter egg
chihuahua,chihuahuas,a chihuahua
sock,socks,a sock
diaper,diapers,a diaper
spaghetti,spaghettis,a spaghetti
tiramisu,tiramisus,a tiramisu
clothing,clothings,a clothing
bomb,bombs,a bomb
beanbag,beanbags,a beanbag
hammock,hammocks,a hammock
lawnmower,lawnmowers,a lawnmower
cilantro,cilantros,a cilantro
glasses,glass,a glasses
cockatoo,cockatoos,a cockatoo
kaleidoscope,kaleidoscopes,a kaleidoscope
paper bag,paper bags,a paper bag
subway,subways,a subway
calf,calves,a calf
keg,kegs,a keg
coop,coops,a coop
lamb,lambs,a lamb
reindeer,reindeer,a reindeer
sheep,sheep,a sheep
zucchini,zucchinis,a zucchini
chili,chilis,a chili
rug,rugs,a rug
candy cane,candy canes,a candy cane
teapot,teapots,a teapot
light switch,light switches,a light switch
corn,corns,a corn
submarine,submarines,a submarine
stretcher,stretchers,a stretcher
appetizer,appetizers,an appetizer
stuffing,stuffings,a stuffing
bowtie,bowties,a bowtie
cup,cups,a cup
fruit,fruits,a fruit
piggy bank,piggy banks,a piggy bank
gyro,gyros,a gyro
thermos,thermo,a thermos
crown,crowns,a crown
fern,ferns,a fern
toiletry,toiletries,a toiletry
donkey,donkeys,a donkey
tent,tents,a tent
watermelon,watermelons,a watermelon
handbrake,handbrakes,a handbrake
chessboard,chessboards,a chessboard
goat,goats,a goat
mammal,mammals,a mammal
seahorse,seahorses,a seahorse
rubber band,rubber bands,a rubber band
cupcake,cupcakes,a cupcake
buckle,buckles,a buckle
coat,coats,a coat
weed,weeds,a weed
soap,soaps,a soap
sugar cube,sugar cubes,a sugar cube
fastener,fasteners,a fastener
game,games,a game
crow,crows,a crow
rifle,rifles,a rifle
sickle,sickles,a sickle
nail,nails,a nail
omelet,omelets,an omelet
pot,pots,a pot
charger,chargers,a charger
skirt,skirts,a skirt
flip-flop,flip-flops,a flip-flop
computer,computers,a computer
shawl,shawls,a shawl
gopher,gophers,a gopher
beet,beets,a beet
tambourine,tambourines,a tambourine
undershirt,undershirts,an undershirt
ram,rams,a ram
trumpet,trumpets,a trumpet
poker,pokers,a poker
biscuit,biscuits,a biscuit
iron,irons,an iron
vise,vises,a vise
bow,bows,a bow
doll,dolls,a doll
shrimp,shrimps,a shrimp
tape,tapes,a tape
shorts,short,a shorts
straightjacket,straightjackets,a straightjacket
bottle,bottles,a bottle
jigsaw puzzle,jigsaw puzzles,a jigsaw puzzle
vehicle,vehicles,a vehicle
doghouse,doghouses,a doghouse
rice,rices,a rice
padlock,padlocks,a padlock
seaplane,seaplanes,a seaplane
horse,horses,a horse
printer,printers,a printer
shelf,shelves,a shelf
eggbeater,eggbeaters,an eggbeater
radish,radishes,a radish
blender,blenders,a blender
organism,organisms,an organism
iguana,iguanas,an iguana
footwear,footwears,a footwear
plum,plums,a plum
grater,graters,a grater
tumbleweed,tumbleweeds,a tumbleweed
pliers,pliers,a pliers
leech,leeches,a leech
eye patch,eye patches,an eye patch
tiger,tigers,a tiger
kale,kales,a kale
coffee pot,coffee pots,a coffee pot
chalk,chalks,a chalk
stiletto,stilettoes,a stiletto
applesauce,applesauces,an applesauce
bank,banks,a bank
shirt,shirts,a shirt
sweet potato,sweet potatoes,a sweet potato
soy sauce,soy sauces,a soy sauce
clipboard,clipboards,a clipboard
backscratcher,backscratchers,a backscratcher
home decor,home decors,a home decor
maple syrup,maple syrups,a maple syrup
skateboard,skateboards,a skateboard
cake,cakes,a cake
cooker,cookers,a cooker
sledgehammer,sledgehammers,a sledgehammer
butterfly,butterflies,a butterfly
record player,record players,a record player
cellphone,cellphones,a cellphone
grass,grasses,a grass
bracelet,bracelets,a bracelet
marijuana,marijuanas,a marijuana
turtle,turtles,a turtle
hula hoop,hula hoops,a hula hoop
mint,mints,a mint
gong,gongs,a gong
earring,earrings,an earring
bongo,bongos,a bongo
spacesuit,spacesuits,a spacesuit
rhinoceros,rhinoceroses,a rhinoceros
sprouts,sprout,a sprouts
flipper,flippers,a flipper
rocket,rockets,a rocket
safety pin,safety pins,a safety pin
birdhouse,birdhouses,a birdhouse
dolphin,dolphins,a dolphin
alpaca,alpacas,an alpaca
warthog,warthogs,a warthog
broccoli,broccolis,a broccoli
eggplant,eggplants,an eggplant
soup,soups,a soup
tulip,tulips,a tulip
fast food,fast foods,a fast food
machine gun,machine guns,a machine gun
accessory,accessories,an accessory
tablet,tablets,a tablet
police car,police cars,a police car
station wagon,station wagons,a station wagon
starfish,starfish,a starfish
ice cream,ice creams,an ice cream
blueberry,blueberries,a blueberry
razor,razors,a razor
table,tables,a table
highlighter,highlighters,a highlighter
milkshake,milkshakes,a milkshake
rat,rats,a rat
clove,cloves,a clove
calamari,calamaris,a calamari
tuba,tubas,a tuba
butter,butter,a butter
rim,rims,a rim
spatula,spatulas,a spatula
crank,cranks,a crank
crab,crabs,a crab
pocketknife,pocketknives,a pocketknife
beetle,beetles,a beetle
tool,tools,a tool
hot-air balloon,hot-air balloons,a hot-air balloon
pepper mill,pepper mills,a pepper mill
rattle,rattles,a rattle
eagle,eagles,an eagle
key,keys,a key
boa,boas,a boa
trashcan,trashcans,a trashcan
hairspray,hairsprays,a hairspray
poster,posters,a poster
lock,locks,a lock
dishwasher,dishwashers,a dishwasher
wine cooler,wine coolers,a wine cooler
mitten,mittens,a mitten
hotplate,hotplates,a hotplate
roll,rolls,a roll
toolbox,toolboxes,a toolbox
ferret,ferrets,a ferret
transportation,transportations,a transportation
grain,grains,a grain
license plate,license plates,a license plate
bowler hat,bowler hats,a bowler hat
chopsticks,chopstick,a chopsticks
tank,tanks,a tank
dashboard,dashboards,a dashboard
radio,radios,a radio
lighter,lighters,a lighter
pigeon,pigeons,a pigeon
pin,pins,a pin
livestock,livestocks,a livestock
batter,batters,a batter
crayon,crayons,a crayon
plaster cast,plaster casts,a plaster cast
staple,staples,a staple
substance,substances,a substance
jackhammer,jackhammers,a jackhammer
mailbox,mailboxes,a mailbox
chickpea,chickpeas,a chickpea
basket,baskets,a basket
mixer,mixers,a mixer
boot,boots,a boot
switch,switches,a switch
bunkbed,bunkbeds,a bunkbed
dalmatian,dalmatians,a dalmatian
poinsettia,poinsettias,a poinsettia
coat rack,coat racks,a coat rack
oatmeal,oatmeals,an oatmeal
couch,couches,a couch
router,routers,a router
espresso,espressos,an espresso
rhubarb,rhubarbs,a rhubarb
pineapple,pineapples,a pineapple
refrigerator,refrigerators,a refrigerator
pinball,pinballs,a pinball
sandbag,sandbags,a sandbag
parfait,parfaits,a parfait
orange,oranges,an orange
scrabble,scrabbles,a scrabble
train set,train sets,a train set
visor,visors,a visor
peeler,peelers,a peeler
veil,veils,a veil
letter opener,letter openers,a letter opener
earwig,earwigs,an earwig
macadamia,macadamias,a macadamia
arrow,arrows,an arrow
wallet,wallets,a wallet
chinchilla,chinchillas,a chinchilla
spider,spiders,a spider
waffle,waffles,a waffle
pie,pies,a pie
coffeemaker,coffeemakers,a coffeemaker
cracker,crackers,a cracker
air pump,air pumps,an air pump
sword,swords,a sword
lip balm,lip balms,a lip balm
flute,flutes,a flute
raspberry,raspberries,a raspberry
breadbox,breadboxes,a breadbox
ferry,ferries,a ferry
hoe,hoes,a hoe
train,trains,a train
chair,chairs,a chair
snake,snakes,a snake
decoration,decorations,a decoration
saw,saws,a saw
baton,batons,a baton
glass,glasses,a glass
file,files,a file
bug,bugs,a bug
shortbread,shortbreads,a shortbread
toga,togas,a toga
pepper,peppers,a pepper
aardvark,aardvarks,an aardvark
metal detector,metal detectors,a metal detector
bench,benches,a bench
airplane,airplanes,an airplane
boat,boats,a boat
wreath,wreaths,a wreath
shopping basket,shopping baskets,a shopping basket
loincloth,loincloths,a loincloth
meatloaf,meatloafs,a meatloaf
manatee,manatees,a manatee
waffle iron,waffle irons,a waffle iron
car door,car doors,a car door
candy,candies,a candy
slicer,slicers,a slicer
squid,squids,a squid
snack,snacks,a snack
whipped cream,whipped creams,a whipped cream
covering,coverings,a covering
cougar,cougars,a cougar
eraser,erasers,an eraser
bulldozer,bulldozers,a bulldozer
cot,cots,a cot
vulture,vultures,a vulture
string cheese,string cheeses,a string cheese
lollipop,lollipops,a lollipop
banana,bananas,a banana
bologna,bolognas,a bologna
first-aid kit,first-aid kits,a first-aid kit
pitchfork,pitchforks,a pitchfork
backpack,backpacks,a backpack
toaster,toasters,a toaster
dough,doughs,a dough
closet,closets,a closet
grille,grilles,a grille
pipe,pipes,a pipe
otter,otters,an otter
treadmill,treadmills,a treadmill
jet,jets,a jet
anklet,anklets,an anklet
kettle,kettles,a kettle
sauce,sauces,a sauce
marshmallow,marshmallows,a marshmallow
ladybug,ladybugs,a ladybug
cane,canes,a cane
camel,camels,a camel
cinnamon,cinnamons,a cinnamon
accordion,accordions,an accordion
glove,gloves,a glove
test tube,test tubes,a test tube
bison,bisons,a bison
flatiron,flatirons,a flatiron
barnacle,barnacles,a barnacle
hat,hats,a hat
bucket,buckets,a bucket
camper,campers,a camper
oilcan,oilcans,an oilcan
potpie,potpies,a potpie
saxophone,saxophones,a saxophone
paper,papers,a paper
saltshaker,saltshakers,a saltshaker
handle,handles,a handle
vending machine,vending machines,a vending machine
blower,blowers,a blower
macaroni,macaronis,a macaroni
chick,chicks,a chick
makeup,makeups,a makeup
bikini,bikinis,a bikini
tomato,tomatoes,a tomato
hotdog,hotdogs,a hotdog
bracket,brackets,a bracket
parrot,parrots,a parrot
hot tub,hot tubs,a hot tub
camera,cameras,a camera
yogurt,yogurts,a yogurt
bus,buses,a bus
coconut,coconuts,a coconut
barrette,barrettes,a barrette
fan,fans,a fan
sorbet,sorbets,a sorbet
clipper,clippers,a clipper
eclair,eclairs,an eclair
spark plug,spark plugs,a spark plug
celery,celeries,a celery
mascara,mascaras,a mascara
drum,drums,a drum
gum,gums,a gum
pelican,pelicans,a pelican
leggings,legging,a leggings
generator,generators,a generator
egg roll,egg rolls,an egg roll
popcorn,popcorns,a popcorn
weather vane,weather vanes,a weather vane
rollerskate,rollerskates,a rollerskate
dustpan,dustpans,a dustpan
chalkboard,chalkboards,a chalkboard
school supply,school supplies,a school supply
flyswatter,flyswatters,a flyswatter
hopscotch,hopscotches,a hopscotch
ruler,rulers,a ruler
medical equipment,medical equipments,a medical equipment
canoe,canoes,a canoe
pants,pant,a pants
grinder,grinders,a grinder
raisin,raisins,a raisin
limousine,limousines,a limousine
airboat,airboats,an airboat
cable,cables,a cable
koala,koalas,a koala
wolf,wolves,a wolf
burner,burners,a burner
peppermint,peppermints,a peppermint
eggnog,eggnogs,an eggnog
orangutan,orangutans,an orangutan
crutch,crutches,a crutch
gumdrop,gumdrops,a gumdrop
cheesecake,cheesecakes,a cheesecake
cucumber,cucumbers,a cucumber
mirror,mirrors,a mirror
pita,pitas,a pita
jumpsuit,jumpsuits,a jumpsuit
bike,bikes,a bike
board game,board games,a board game
cleaver,cleavers,a cleaver
icepick,icepicks,an icepick
cymbal,cymbals,a cymbal
blowtorch,blowtorches,a blowtorch
instrument,instruments,an instrument
latch,latches,a latch
space shuttle,space shuttles,a space shuttle
strawberry,strawberries,a strawberry
sauerkraut,sauerkrauts,a sauerkraut
blackberry,blackberries,a blackberry
tuxedo,tuxedoes,a tuxedo
basil,basils,a basil
bacon,bacons,a bacon
vegetable,vegetables,a vegetable
wafer,wafers,a wafer
duffel bag,duffel bags,a duffel bag
brake,brakes,a brake
cloak,cloaks,a cloak
sunroof,sunroofs,a sunroof
juicer,juicers,a juicer
dryer,dryers,a dryer
oven,ovens,an oven
dreidel,dreidels,a dreidel
kilt,kilts,a kilt
gearshift,gearshifts,a gearshift
washcloth,washcloths,a washcloth
panties,panty,a panties
okra,okras,an okra
cannon,cannons,a cannon
caramel,caramels,a caramel
beaver,beavers,a beaver
hairdryer,hairdryers,a hairdryer
checkers,checker,a checkers
dessert,desserts,a dessert
worm,worms,a worm
dragonfly,dragonflies,a dragonfly
shopping cart,shopping carts,a shopping cart
muff,muffs,a muff
mop,mops,a mop
lasagna,lasagnas,a lasagna
balloon,balloons,a balloon
lettuce,lettuces,a lettuce
birdcage,birdcages,a birdcage
snail,snails,a snail
pastry,pastries,a pastry
pig,pigs,a pig
tortellini,tortellinis,a tortellini
coleslaw,coleslaws,a coleslaw
jam,jams,a jam
cheetah,cheetahs,a cheetah
groundhog,groundhogs,a groundhog
taffy,taffies,a taffy
star fruit,star fruits,a star fruit
cobra,cobras,a cobra
mustard,mustards,a mustard
hobbyhorse,hobbyhorses,a hobbyhorse
trident,tridents,a trident
lectern,lecterns,a lectern
blowfish,blowfish,a blowfish
fishbowl,fishbowls,a fishbowl
mug,mugs,a mug
toucan,toucans,a toucan
recliner,recliners,a recliner
headwear,headwears,a headwear
gorilla,gorillas,a gorilla
deer,deer,a deer
yolk,yolks,a yolk
caviar,caviars,a caviar
jalapeno,jalapenoes,a jalapeno
keyboard,keyboards,a keyboard
guinea pig,guinea pigs,a guinea pig
motorcycle,motorcycles,a motorcycle
pudding,puddings,a pudding
caterpillar,caterpillars,a caterpillar
lunchbox,lunchboxes,a lunchbox
camcorder,camcorders,a camcorder
wind chimes,wind chimess,a wind chimes
deodorant,deodorants,a deodorant
stir fry,stir fries,a stir fry
lightbulb,lightbulbs,a lightbulb
cream cheese,cream cheeses,a cream cheese
moose,moose,a moose
belt buckle,belt buckles,a belt buckle
screw,screws,a screw
saffron,saffrons,a saffron
trowel,trowels,a trowel
hatbox,hatboxes,a hatbox
sardine,sardines,a sardine
ostrich,ostriches,an ostrich
clarinet,clarinets,a clarinet
mussel,mussels,a mussel
frisbee,frisbees,a frisbee
dumpling,dumplings,a dumpling
scanner,scanners,a scanner
cello,cellos,a cello
nail clippers,nail clippers,a nail clippers
banjo,banjoes,a banjo
wheat,wheats,a wheat
canister,canisters,a canister
lanyard,lanyards,a lanyard
peacock,peacocks,a peacock
water heater,water heaters,a water heater
tugboat,tugboats,a tugboat
whale,whales,a whale
can,cans,a can
violin,violins,a violin
chisel,chisels,a chisel
animal,animals,an animal
pantyhose,pantyhoses,a pantyhose
raccoon,raccoons,a raccoon
crayfish,crayfish,a crayfish
bookshelf,bookshelves,a bookshelf
cat,cats,a cat
sea animal,sea animals,a sea animal
rearview mirror,rearview mirrors,a rearview mirror
pesto,pestoes,a pesto
unicycle,unicycles,a unicycle
incubator,incubators,an incubator
bun,buns,a bun
wine,wines,a wine
pug,pugs,a pug
women's clothing,women's clothings,a women's clothing
locker,lockers,a locker
seafood,seafoods,a seafood
scalpel,scalpels,a scalpel
screwdriver,screwdrivers,a screwdriver
bumper,bumpers,a bumper
blowgun,blowguns,a blowgun
sweeper,sweepers,a sweeper
almond,almonds,an almond
toy,toys,a toy
muffin,muffins,a muffin
hyena,hyenas,a hyena
flan,flans,a flan
chaps,chap,a chaps
ham,hams,a ham
condiment,condiments,a condiment
outfit,outfits,an outfit
goose,geese,a goose
pocket watch,pocket watches,a pocket watch
hearing aid,hearing aids,a hearing aid
ottoman,ottomans,an ottoman
windshield,windshields,a windshield
chariot,chariots,a chariot
aircraft carrier,aircraft carriers,an aircraft carrier
cufflink,cufflinks,a cufflink
petri dish,petri dishes,a petri dish
rose,roses,a rose
water bottle,water bottles,a water bottle
beanie,beanies,a beanie
bull,bulls,a bull
spareribs,sparerib,a spareribs
scoop,scoops,a scoop
vertebrate,vertebrates,a vertebrate
hippopotamus,hippopotamuses,a hippopotamus
utilities,utility,a utilities
dynamite,dynamites,a dynamite
folder,folders,a folder
steamroller,steamrollers,a steamroller
album,albums,an album
margarita,margaritas,a margarita
hairbrush,hairbrushes,a hairbrush
bean,beans,a bean
computer screen,computer screens,a computer screen
salad,salads,a salad
remote control,remote controls,a remote control
funnel,funnels,a funnel
wrench,wrenches,a wrench
cornucopia,cornucopias,a cornucopia
pajamas,pajamas,a pajamas
teddy bear,teddy bears,a teddy bear
swimming pool,swimming pools,a swimming pool
grasshopper,grasshoppers,a grasshopper
toothbrush,toothbrushes,a toothbrush
brussels sprouts,brussels sproutss,a brussels sprouts
rack,racks,a rack
tea,teas,a tea
school bus,school buses,a school bus
hummus,hummuses,a hummus
scrambled egg,scrambled eggs,a scrambled egg
candelabra,candelabras,a candelabra
tube top,tube tops,a tube top
pecan,pecans,a pecan
match,matches,a match
bag,bags,a bag
headlight,headlights,a headlight
shoe,shoes,a shoe
enchilada,enchiladas,an enchilada
apple,apples,an apple
ready meal,ready meals,a ready meal
french fries,french friess,a french fries
peanut butter,peanut butter,a peanut butter
wig,wigs,a wig
weapon,weapons,a weapon
bee,bees,a bee
bolo tie,bolo ties,a bolo tie
syringe,syringes,a syringe
tiara,tiaras,a tiara
brace,braces,a brace
ice-cream cone,ice-cream cones,an ice-cream cone
dress,dresses,a dress
thumbtack,thumbtacks,a thumbtack
hamburger,hamburgers,a hamburger
cranberry,cranberries,a cranberry
bazooka,bazookas,a bazooka
taillight,taillights,a taillight
stew,stews,a stew
spear,spears,a spear
music box,music boxes,a music box
pocket,pockets,a pocket
envelope,envelopes,an envelope
hash,hashes,a hash
mongoose,mongooses,a mongoose
coffin,coffins,a coffin
dirt bike,dirt bikes,a dirt bike
wedding cake,wedding cakes,a wedding cake
pogo stick,pogo sticks,a pogo stick
coffee bean,coffee beans,a coffee bean
step stool,step stools,a step stool
dip,dips,a dip
jacket,jackets,a jacket
lab coat,lab coats,a lab coat
goblet,goblets,a goblet
paintbrush,paintbrushes,a paintbrush
soldering iron,soldering irons,a soldering iron
ravioli,raviolis,a ravioli
nut,nuts,a nut
flamingo,flamingoes,a flamingo
briefcase,briefcases,a briefcase
blouse,blouses,a blouse
coaster,coasters,a coaster
walrus,walruses,a walrus
iceskate,iceskates,an iceskate
cotton candy,cotton candies,a cotton candy
cape,capes,a cape
brooch,brooches,a brooch
curry,curries,a curry
sled,sleds,a sled
hatchet,hatchets,a hatchet
ratchet,ratchets,a ratchet
sifter,sifters,a sifter
can opener,can openers,a can opener
breadstick,breadsticks,a breadstick
chips,chip,a chips
odometer,odometers,an odometer
ant,ants,an ant
donut,donuts,a donut
candy bar,candy bars,a candy bar
protective clothing,protective clothings,a protective clothing
champagne,champagnes,a champagne
patch,patches,a patch
brass knuckles,brass knuckless,a brass knuckles
hedgehog,hedgehogs,a hedgehog
laptop,laptops,a laptop
glue,glues,a glue
arugula,arugulas,an arugula
exhaust pipe,exhaust pipes,an exhaust pipe
doorhandle,doorhandles,a doorhandle
amplifier,amplifiers,an amplifier
gear,gears,a gear
corkscrew,corkscrews,a corkscrew
carriage,carriages,a carriage
mosquito,mosquitoes,a mosquito
fig,figs,a fig
beaker,beakers,a beaker
ice pack,ice packs,an ice pack
wasp,wasps,a wasp
suitcase,suitcases,a suitcase
palm tree,palm trees,a palm tree
helicopter,helicopters,a helicopter
kitchen equipment,kitchen equipments,a kitchen equipment
triangle,triangles,a triangle
rake,rakes,a rake
souffle,souffles,a souffle
pickax,pickaxes,a pickax
equipment,equipments,an equipment
beachball,beachballs,a beachball
gazelle,gazelles,a gazelle
leotard,leotards,a leotard
modem,modems,a modem
raincoat,raincoats,a raincoat
scarecrow,scarecrows,a scarecrow
whiteboard,whiteboards,a whiteboard
marker,markers,a marker
patty,patties,a patty
seatbelt,seatbelts,a seatbelt
drink,drinks,a drink
flower,flowers,a flower
kazoo,kazoos,a kazoo
underwear,underwears,an underwear
faucet,faucets,a faucet
vacuum,vacuums,a vacuum
shark,sharks,a shark
tupperware,tupperwares,a tupperware
fish,fish,a fish
mattress,mattresses,a mattress
hoodie,hoodies,a hoodie
globe,globes,a globe
staple gun,staple guns,a staple gun
shovel,shovels,a shovel
gravy,gravies,a gravy
alligator,alligators,an alligator
jug,jugs,a jug
coral,corals,a coral
bassoon,bassoons,a bassoon
quill,quills,a quill
landmine,landmines,a landmine
fishnet stockings,fishnet stockingss,a fishnet stockings
puffin,puffins,a puffin
overalls,overall,an overalls
lavender,lavenders,a lavender
potpourri,potpourris,a potpourri
panther,panthers,a panther
bok choy,bok choys,a bok choy
hook,hooks,a hook
sushi,sushis,a sushi
thermometer,thermometers,a thermometer
cabinet,cabinets,a cabinet
slug,slugs,a slug
notepad,notepads,a notepad
insect,insects,an insect
seagull,seagulls,a seagull
mousse,mousses,a mousse
raft,rafts,a raft
speedboat,speedboats,a speedboat
lego,legoes,a lego
leopard,leopards,a leopard
eel,eels,an eel
poppy,poppies,a poppy
hairpin,hairpins,a hairpin
kneepad,kneepads,a kneepad
sling,slings,a sling
duster,dusters,a duster
bottle opener,bottle openers,a bottle opener
ski boots,ski bootss,a ski boots
cage,cages,a cage
wetsuit,wetsuits,a wetsuit
possum,possums,a possum
yo-yo,yo-yos,a yo-yo
screen,screens,a screen
scallion,scallions,a scallion
crowbar,crowbars,a crowbar
piecrust,piecrusts,a piecrust
cauliflower,cauliflowers,a cauliflower
chive,chives,a chive
pillow,pillows,a pillow
grapevine,grapevines,a grapevine
bonsai,bonsais,a bonsai
insole,insoles,an insole
kitten,kittens,a kitten
wire,wires,a wire
abacus,abacuses,an abacus
bagel,bagels,a bagel
truck,trucks,a truck
flamethrower,flamethrowers,a flamethrower
scissors,scissors,a scissors
bowl,bowls,a bowl
top hat,top hats,a top hat
chandelier,chandeliers,a chandelier
hubcap,hubcaps,a hubcap
pedal,pedals,a pedal
