hypernym,hypernym-sense,anchor,anchor-sense,hyponym
organism,organism.n.01,animal,animal.n.01,grasshopper
organism,organism.n.01,animal,animal.n.01,groundhog
organism,organism.n.01,animal,animal.n.01,guinea pig
organism,organism.n.01,animal,animal.n.01,hamster
organism,organism.n.01,animal,animal.n.01,hawk
organism,organism.n.01,animal,animal.n.01,hedgehog
organism,organism.n.01,animal,animal.n.01,hippopotamus
organism,organism.n.01,animal,animal.n.01,horse
organism,organism.n.01,animal,animal.n.01,hummingbird
organism,organism.n.01,animal,animal.n.01,hyena
organism,organism.n.01,animal,animal.n.01,iguana
organism,organism.n.01,animal,animal.n.01,jellyfish
organism,organism.n.01,animal,animal.n.01,kangaroo
organism,organism.n.01,animal,animal.n.01,kitten
organism,organism.n.01,animal,animal.n.01,koala
organism,organism.n.01,animal,animal.n.01,ladybug
organism,organism.n.01,animal,animal.n.01,lamb
organism,organism.n.01,animal,animal.n.01,leech
organism,organism.n.01,animal,animal.n.01,leopard
organism,organism.n.01,animal,animal.n.01,lightning bug
organism,organism.n.01,animal,animal.n.01,lion
organism,organism.n.01,animal,animal.n.01,lizard
organism,organism.n.01,animal,animal.n.01,llama
organism,organism.n.01,animal,animal.n.01,lobster
organism,organism.n.01,animal,animal.n.01,maggot
organism,organism.n.01,animal,animal.n.01,manatee
organism,organism.n.01,animal,animal.n.01,meerkat
organism,organism.n.01,animal,animal.n.01,mole
organism,organism.n.01,animal,animal.n.01,mongoose
organism,organism.n.01,animal,animal.n.01,monkey
organism,organism.n.01,animal,animal.n.01,moose
organism,organism.n.01,animal,animal.n.01,mosquito
organism,organism.n.01,animal,animal.n.01,moth
organism,organism.n.01,animal,animal.n.01,mouse
organism,organism.n.01,animal,animal.n.01,mussel
organism,organism.n.01,animal,animal.n.01,octopus
organism,organism.n.01,animal,animal.n.01,orangutan
organism,organism.n.01,animal,animal.n.01,ostrich
organism,organism.n.01,animal,animal.n.01,otter
organism,organism.n.01,animal,animal.n.01,owl
organism,organism.n.01,animal,animal.n.01,oyster
organism,organism.n.01,animal,animal.n.01,panda
organism,organism.n.01,animal,animal.n.01,panther
organism,organism.n.01,animal,animal.n.01,parrot
organism,organism.n.01,animal,animal.n.01,peacock
organism,organism.n.01,animal,animal.n.01,pelican
organism,organism.n.01,animal,animal.n.01,penguin
organism,organism.n.01,animal,animal.n.01,pheasant
organism,organism.n.01,animal,animal.n.01,pig
organism,organism.n.01,animal,animal.n.01,pigeon
organism,organism.n.01,animal,animal.n.01,piglet
organism,organism.n.01,animal,animal.n.01,platypus
organism,organism.n.01,animal,animal.n.01,polar bear
organism,organism.n.01,animal,animal.n.01,pony
organism,organism.n.01,animal,animal.n.01,poodle
organism,organism.n.01,animal,animal.n.01,porcupine
organism,organism.n.01,animal,animal.n.01,possum
organism,organism.n.01,animal,animal.n.01,praying mantis
organism,organism.n.01,animal,animal.n.01,puffin
organism,organism.n.01,animal,animal.n.01,pug
organism,organism.n.01,animal,animal.n.01,puppy
organism,organism.n.01,animal,animal.n.01,rabbit
organism,organism.n.01,animal,animal.n.01,raccoon
organism,organism.n.01,animal,animal.n.01,ram
organism,organism.n.01,animal,animal.n.01,rat
organism,organism.n.01,animal,animal.n.01,rattlesnake
organism,organism.n.01,animal,animal.n.01,reindeer
organism,organism.n.01,animal,animal.n.01,rhinoceros
organism,organism.n.01,animal,animal.n.01,rooster
organism,organism.n.01,animal,animal.n.01,sardine
organism,organism.n.01,animal,animal.n.01,scallop
organism,organism.n.01,animal,animal.n.01,scorpion
organism,organism.n.01,animal,animal.n.01,sea urchin
organism,organism.n.01,animal,animal.n.01,seagull
organism,organism.n.01,animal,animal.n.01,seahorse
organism,organism.n.01,animal,animal.n.01,seal
organism,organism.n.01,animal,animal.n.01,shark
organism,organism.n.01,animal,animal.n.01,sheep
organism,organism.n.01,animal,animal.n.01,shrimp
organism,organism.n.01,animal,animal.n.01,skunk
organism,organism.n.01,animal,animal.n.01,sloth
organism,organism.n.01,animal,animal.n.01,slug
organism,organism.n.01,animal,animal.n.01,snail
organism,organism.n.01,animal,animal.n.01,snake
organism,organism.n.01,animal,animal.n.01,spider
organism,organism.n.01,animal,animal.n.01,squid
organism,organism.n.01,animal,animal.n.01,squirrel
organism,organism.n.01,animal,animal.n.01,starfish
organism,organism.n.01,animal,animal.n.01,stingray
organism,organism.n.01,animal,animal.n.01,swan
organism,organism.n.01,animal,animal.n.01,swordfish
organism,organism.n.01,animal,animal.n.01,tadpole
organism,organism.n.01,animal,animal.n.01,tarantula
organism,organism.n.01,animal,animal.n.01,tick
organism,organism.n.01,animal,animal.n.01,tiger
organism,organism.n.01,animal,animal.n.01,toad
organism,organism.n.01,animal,animal.n.01,toucan
organism,organism.n.01,animal,animal.n.01,turkey
organism,organism.n.01,animal,animal.n.01,turtle
organism,organism.n.01,animal,animal.n.01,vulture
organism,organism.n.01,animal,animal.n.01,walrus
organism,organism.n.01,animal,animal.n.01,warthog
organism,organism.n.01,animal,animal.n.01,wasp
organism,organism.n.01,animal,animal.n.01,weasel
organism,organism.n.01,animal,animal.n.01,whale
organism,organism.n.01,animal,animal.n.01,wolf
organism,organism.n.01,animal,animal.n.01,worm
organism,organism.n.01,animal,animal.n.01,yak
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
organism,organism.n.01,animal,animal.n.01,zebra
vertebrate,vertebrate.n.01,bird,bird.n.01,bird
vertebrate,vertebrate.n.01,bird,bird.n.01,cardinal
vertebrate,vertebrate.n.01,bird,bird.n.01,chick
vertebrate,vertebrate.n.01,bird,bird.n.01,cockatoo
vertebrate,vertebrate.n.01,bird,bird.n.01,crow
vertebrate,vertebrate.n.01,bird,bird.n.01,duck
vertebrate,vertebrate.n.01,bird,bird.n.01,duckling
vertebrate,vertebrate.n.01,bird,bird.n.01,eagle
vertebrate,vertebrate.n.01,bird,bird.n.01,flamingo
vertebrate,vertebrate.n.01,bird,bird.n.01,goose
vertebrate,vertebrate.n.01,bird,bird.n.01,hawk
vertebrate,vertebrate.n.01,bird,bird.n.01,hummingbird
vertebrate,vertebrate.n.01,bird,bird.n.01,ostrich
vertebrate,vertebrate.n.01,bird,bird.n.01,owl
vertebrate,vertebrate.n.01,bird,bird.n.01,parrot
vertebrate,vertebrate.n.01,bird,bird.n.01,peacock
vertebrate,vertebrate.n.01,bird,bird.n.01,pelican
vertebrate,vertebrate.n.01,bird,bird.n.01,penguin
vertebrate,vertebrate.n.01,bird,bird.n.01,pheasant
vertebrate,vertebrate.n.01,bird,bird.n.01,pigeon
vertebrate,vertebrate.n.01,bird,bird.n.01,puffin
vertebrate,vertebrate.n.01,bird,bird.n.01,rooster
vertebrate,vertebrate.n.01,bird,bird.n.01,seagull
vertebrate,vertebrate.n.01,bird,bird.n.01,swan
vertebrate,vertebrate.n.01,bird,bird.n.01,toucan
vertebrate,vertebrate.n.01,bird,bird.n.01,turkey
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
vertebrate,vertebrate.n.01,bird,bird.n.01,vulture
food,food.n.01,breakfast item,none,bacon
food,food.n.01,breakfast item,none,bagel
food,food.n.01,breakfast item,none,bread
food,food.n.01,breakfast item,none,breakfast
food,food.n.01,breakfast item,none,cereal
food,food.n.01,breakfast item,none,cream cheese
food,food.n.01,breakfast item,none,crepe
food,food.n.01,breakfast item,none,croissant
food,food.n.01,breakfast item,none,donut
food,food.n.01,breakfast item,none,egg
food,food.n.01,breakfast item,none,french fries
food,food.n.01,breakfast item,none,granola
food,food.n.01,breakfast item,none,grits
food,food.n.01,breakfast item,none,ham
food,food.n.01,breakfast item,none,hamburger
food,food.n.01,breakfast item,none,hash
food,food.n.01,breakfast item,none,honey
food,food.n.01,breakfast item,none,jam
food,food.n.01,breakfast item,none,maple syrup
food,food.n.01,breakfast item,none,marmalade
food,food.n.01,breakfast item,none,muffin
food,food.n.01,breakfast item,none,oatmeal
food,food.n.01,breakfast item,none,omelet
food,food.n.01,breakfast item,none,pancake
food,food.n.01,breakfast item,none,pastry
food,food.n.01,breakfast item,none,peanut butter
food,food.n.01,breakfast item,none,roll
food,food.n.01,breakfast item,none,sandwich
food,food.n.01,breakfast item,none,sausage
food,food.n.01,breakfast item,none,scone
food,food.n.01,breakfast item,none,scrambled egg
food,food.n.01,breakfast item,none,syrup
food,food.n.01,breakfast item,none,toast
food,food.n.01,breakfast item,none,waffle
food,food.n.01,breakfast item,none,yogurt
sweet,sweet.n.03,candy,candy.n.01,candy
sweet,sweet.n.03,candy,candy.n.01,candy bar
sweet,sweet.n.03,candy,candy.n.01,candy cane
sweet,sweet.n.03,candy,candy.n.01,caramel
sweet,sweet.n.03,candy,candy.n.01,chocolate
sweet,sweet.n.03,candy,candy.n.01,cotton candy
sweet,sweet.n.03,candy,candy.n.01,fudge
sweet,sweet.n.03,candy,candy.n.01,gum
sweet,sweet.n.03,candy,candy.n.01,gumball
sweet,sweet.n.03,candy,candy.n.01,gumdrop
sweet,sweet.n.03,candy,candy.n.01,jelly bean
sweet,sweet.n.03,candy,candy.n.01,licorice
sweet,sweet.n.03,candy,candy.n.01,lollipop
sweet,sweet.n.03,candy,candy.n.01,marshmallow
sweet,sweet.n.03,candy,candy.n.01,peppermint
sweet,sweet.n.03,candy,candy.n.01,taffy
covering,covering.n.02,clothing,clothing.n.01,apron
covering,covering.n.02,clothing,clothing.n.01,armor
covering,covering.n.02,clothing,clothing.n.01,bandanna
covering,covering.n.02,clothing,clothing.n.01,bathrobe
covering,covering.n.02,clothing,clothing.n.01,beanie
covering,covering.n.02,clothing,clothing.n.01,belt
covering,covering.n.02,clothing,clothing.n.01,bikini
covering,covering.n.02,clothing,clothing.n.01,blazer
covering,covering.n.02,clothing,clothing.n.01,blouse
covering,covering.n.02,clothing,clothing.n.01,boa
covering,covering.n.02,clothing,clothing.n.01,bolo tie
covering,covering.n.02,clothing,clothing.n.01,bonnet
covering,covering.n.02,clothing,clothing.n.01,boot
covering,covering.n.02,clothing,clothing.n.01,bow
covering,covering.n.02,clothing,clothing.n.01,bowler hat
covering,covering.n.02,clothing,clothing.n.01,bowtie
covering,covering.n.02,clothing,clothing.n.01,boxer shorts
covering,covering.n.02,clothing,clothing.n.01,bra
covering,covering.n.02,clothing,clothing.n.01,bracelet
covering,covering.n.02,clothing,clothing.n.01,bulletproof vest
covering,covering.n.02,clothing,clothing.n.01,cape
covering,covering.n.02,clothing,clothing.n.01,cardigan
covering,covering.n.02,clothing,clothing.n.01,chaps
covering,covering.n.02,clothing,clothing.n.01,cloak
covering,covering.n.02,clothing,clothing.n.01,clothes
covering,covering.n.02,clothing,clothing.n.01,coat
covering,covering.n.02,clothing,clothing.n.01,corset
covering,covering.n.02,clothing,clothing.n.01,costume
covering,covering.n.02,clothing,clothing.n.01,coverall
covering,covering.n.02,clothing,clothing.n.01,crown
covering,covering.n.02,clothing,clothing.n.01,cummerbund
covering,covering.n.02,clothing,clothing.n.01,diaper
covering,covering.n.02,clothing,clothing.n.01,dress
covering,covering.n.02,clothing,clothing.n.01,eye patch
covering,covering.n.02,clothing,clothing.n.01,fishnet stockings
covering,covering.n.02,clothing,clothing.n.01,flip-flop
covering,covering.n.02,clothing,clothing.n.01,fur coat
covering,covering.n.02,clothing,clothing.n.01,garter
covering,covering.n.02,clothing,clothing.n.01,glove
covering,covering.n.02,clothing,clothing.n.01,hat
covering,covering.n.02,clothing,clothing.n.01,headband
covering,covering.n.02,clothing,clothing.n.01,headdress
covering,covering.n.02,clothing,clothing.n.01,headscarf
covering,covering.n.02,clothing,clothing.n.01,hoodie
covering,covering.n.02,clothing,clothing.n.01,jacket
covering,covering.n.02,clothing,clothing.n.01,jeans
covering,covering.n.02,clothing,clothing.n.01,jersey
covering,covering.n.02,clothing,clothing.n.01,jumpsuit
covering,covering.n.02,clothing,clothing.n.01,kilt
covering,covering.n.02,clothing,clothing.n.01,kimono
covering,covering.n.02,clothing,clothing.n.01,lab coat
covering,covering.n.02,clothing,clothing.n.01,leggings
covering,covering.n.02,clothing,clothing.n.01,leotard
covering,covering.n.02,clothing,clothing.n.01,life jacket
covering,covering.n.02,clothing,clothing.n.01,lingerie
covering,covering.n.02,clothing,clothing.n.01,loincloth
covering,covering.n.02,clothing,clothing.n.01,mitten
covering,covering.n.02,clothing,clothing.n.01,moccasin
covering,covering.n.02,clothing,clothing.n.01,muff
covering,covering.n.02,clothing,clothing.n.01,nightshirt
covering,covering.n.02,clothing,clothing.n.01,outfit
covering,covering.n.02,clothing,clothing.n.01,overalls
covering,covering.n.02,clothing,clothing.n.01,pajamas
covering,covering.n.02,clothing,clothing.n.01,panties
covering,covering.n.02,clothing,clothing.n.01,pants
covering,covering.n.02,clothing,clothing.n.01,pantsuit
covering,covering.n.02,clothing,clothing.n.01,pantyhose
covering,covering.n.02,clothing,clothing.n.01,polo shirt
covering,covering.n.02,clothing,clothing.n.01,raincoat
covering,covering.n.02,clothing,clothing.n.01,robe
covering,covering.n.02,clothing,clothing.n.01,sandal
covering,covering.n.02,clothing,clothing.n.01,scarf
covering,covering.n.02,clothing,clothing.n.01,shawl
covering,covering.n.02,clothing,clothing.n.01,shirt
covering,covering.n.02,clothing,clothing.n.01,shoe
covering,covering.n.02,clothing,clothing.n.01,shorts
covering,covering.n.02,clothing,clothing.n.01,ski boots
covering,covering.n.02,clothing,clothing.n.01,skirt
covering,covering.n.02,clothing,clothing.n.01,slipper
covering,covering.n.02,clothing,clothing.n.01,snowshoe
covering,covering.n.02,clothing,clothing.n.01,snowsuit
covering,covering.n.02,clothing,clothing.n.01,sock
covering,covering.n.02,clothing,clothing.n.01,sombrero
covering,covering.n.02,clothing,clothing.n.01,spacesuit
covering,covering.n.02,clothing,clothing.n.01,stiletto
covering,covering.n.02,clothing,clothing.n.01,stockings
covering,covering.n.02,clothing,clothing.n.01,straightjacket
covering,covering.n.02,clothing,clothing.n.01,suit
covering,covering.n.02,clothing,clothing.n.01,suspenders
covering,covering.n.02,clothing,clothing.n.01,sweater
covering,covering.n.02,clothing,clothing.n.01,sweatsuit
covering,covering.n.02,clothing,clothing.n.01,swimsuit
covering,covering.n.02,clothing,clothing.n.01,t-shirt
covering,covering.n.02,clothing,clothing.n.01,tiara
covering,covering.n.02,clothing,clothing.n.01,tie
covering,covering.n.02,clothing,clothing.n.01,toga
covering,covering.n.02,clothing,clothing.n.01,top hat
covering,covering.n.02,clothing,clothing.n.01,tube top
covering,covering.n.02,clothing,clothing.n.01,turban
covering,covering.n.02,clothing,clothing.n.01,turtleneck
covering,covering.n.02,clothing,clothing.n.01,tuxedo
covering,covering.n.02,clothing,clothing.n.01,undershirt
covering,covering.n.02,clothing,clothing.n.01,underwear
covering,covering.n.02,clothing,clothing.n.01,uniform
covering,covering.n.02,clothing,clothing.n.01,veil
covering,covering.n.02,clothing,clothing.n.01,vest
covering,covering.n.02,clothing,clothing.n.01,visor
covering,covering.n.02,clothing,clothing.n.01,wetsuit
clothing,clothing.n.01,accessory,accessory.n.01,bandanna
clothing,clothing.n.01,accessory,accessory.n.01,belt
clothing,clothing.n.01,accessory,accessory.n.01,belt buckle
clothing,clothing.n.01,accessory,accessory.n.01,boa
clothing,clothing.n.01,accessory,accessory.n.01,bolo tie
clothing,clothing.n.01,accessory,accessory.n.01,bonnet
clothing,clothing.n.01,accessory,accessory.n.01,bow
clothing,clothing.n.01,accessory,accessory.n.01,bowtie
clothing,clothing.n.01,accessory,accessory.n.01,bracelet
clothing,clothing.n.01,accessory,accessory.n.01,bracelet
clothing,clothing.n.01,accessory,accessory.n.01,brooch
clothing,clothing.n.01,accessory,accessory.n.01,buckle
clothing,clothing.n.01,accessory,accessory.n.01,button
clothing,clothing.n.01,accessory,accessory.n.01,corsage
clothing,clothing.n.01,accessory,accessory.n.01,cufflink
clothing,clothing.n.01,accessory,accessory.n.01,cummerbund
clothing,clothing.n.01,accessory,accessory.n.01,earring
clothing,clothing.n.01,accessory,accessory.n.01,eye patch
clothing,clothing.n.01,accessory,accessory.n.01,glasses
clothing,clothing.n.01,accessory,accessory.n.01,glove
clothing,clothing.n.01,accessory,accessory.n.01,handkerchief
clothing,clothing.n.01,accessory,accessory.n.01,hat
clothing,clothing.n.01,accessory,accessory.n.01,headband
clothing,clothing.n.01,accessory,accessory.n.01,headdress
clothing,clothing.n.01,accessory,accessory.n.01,insole
clothing,clothing.n.01,accessory,accessory.n.01,lanyard
clothing,clothing.n.01,accessory,accessory.n.01,mitten
clothing,clothing.n.01,accessory,accessory.n.01,muff
clothing,clothing.n.01,accessory,accessory.n.01,patch
clothing,clothing.n.01,accessory,accessory.n.01,purse
clothing,clothing.n.01,accessory,accessory.n.01,scarf
clothing,clothing.n.01,accessory,accessory.n.01,shawl
clothing,clothing.n.01,accessory,accessory.n.01,sombrero
clothing,clothing.n.01,accessory,accessory.n.01,suspenders
clothing,clothing.n.01,accessory,accessory.n.01,tie
clothing,clothing.n.01,accessory,accessory.n.01,top hat
clothing,clothing.n.01,accessory,accessory.n.01,visor
clothing,clothing.n.01,accessory,accessory.n.01,watch
food product,foodstuff.n.02,condiment,condiment.n.01,applesauce
food product,foodstuff.n.02,condiment,condiment.n.01,butter
food product,foodstuff.n.02,condiment,condiment.n.01,cream cheese
food product,foodstuff.n.02,condiment,condiment.n.01,ginger
food product,foodstuff.n.02,condiment,condiment.n.01,gravy
food product,foodstuff.n.02,condiment,condiment.n.01,jam
food product,foodstuff.n.02,condiment,condiment.n.01,ketchup
food product,foodstuff.n.02,condiment,condiment.n.01,maple syrup
food product,foodstuff.n.02,condiment,condiment.n.01,marmalade
food product,foodstuff.n.02,condiment,condiment.n.01,mustard
food product,foodstuff.n.02,condiment,condiment.n.01,peanut butter
food product,foodstuff.n.02,condiment,condiment.n.01,pesto
food product,foodstuff.n.02,condiment,condiment.n.01,sauce
food product,foodstuff.n.02,condiment,condiment.n.01,soy sauce
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
food product,foodstuff.n.02,condiment,condiment.n.01,syrup
artifact,artifact.n.01,container,container.n.01,aquarium
artifact,artifact.n.01,container,container.n.01,ashtray
artifact,artifact.n.01,container,container.n.01,backpack
artifact,artifact.n.01,container,container.n.01,bag
artifact,artifact.n.01,container,container.n.01,ballot box
artifact,artifact.n.01,container,container.n.01,bank
artifact,artifact.n.01,container,container.n.01,barrel
artifact,artifact.n.01,container,container.n.01,basket
artifact,artifact.n.01,container,container.n.01,bathtub
artifact,artifact.n.01,container,container.n.01,beaker
artifact,artifact.n.01,container,container.n.01,bedpan
artifact,artifact.n.01,container,container.n.01,bin
artifact,artifact.n.01,container,container.n.01,birdbath
artifact,artifact.n.01,container,container.n.01,birdcage
artifact,artifact.n.01,container,container.n.01,bottle
artifact,artifact.n.01,container,container.n.01,bowl
artifact,artifact.n.01,container,container.n.01,box
artifact,artifact.n.01,container,container.n.01,breadbox
artifact,artifact.n.01,container,container.n.01,briefcase
artifact,artifact.n.01,container,container.n.01,bucket
