anchor,concept,similarity
auto part,life jacket,0.3890278935432434
auto part,suspenders,0.38792526721954346
auto part,bracelet,0.38781148195266724
auto part,face mask,0.38671252131462097
auto part,clothes,0.38638436794281006
auto part,star fruit,0.3854050040245056
auto part,hovercraft,0.38340914249420166
auto part,wallet,0.3832141160964966
auto part,water heater,0.38227376341819763
auto part,coffee,0.38193732500076294
auto part,barrel,0.3807288706302643
auto part,jewelry,0.37758582830429077
auto part,lightning bug,0.37652915716171265
auto part,shaving cream,0.37535011768341064
auto part,candy cane,0.37146633863449097
auto part,valve,0.37081634998321533
auto part,glasses,0.37079447507858276
auto part,glass,0.370794415473938
auto part,mailbox,0.368240088224411
auto part,ice cream,0.366184800863266
auto part,washing machine,0.3656959533691406
auto part,handle,0.36444729566574097
auto part,match,0.36195194721221924
auto part,belt buckle,0.3611563444137573
auto part,crystal ball,0.3609977066516876
auto part,tool,0.3608730137348175
auto part,test tube,0.35971635580062866
auto part,car seat,0.35954749584198
auto part,place mat,0.3581591248512268
auto part,vending machine,0.3560110330581665
auto part,seafood,0.35409238934516907
auto part,fork,0.3537329435348511
auto part,headdress,0.3527907431125641
auto part,pogo stick,0.35187217593193054
auto part,nail clippers,0.3503221869468689
auto part,nail file,0.34960678219795227
auto part,air conditioner,0.34807121753692627
auto part,lab coat,0.3443900942802429
auto part,footrest,0.34245574474334717
auto part,camera,0.34145864844322205
auto part,book,0.3412574231624603
auto part,pine tree,0.340457558631897
auto part,costume,0.3398761451244354
auto part,headrest,0.3398309648036957
auto part,box,0.33863186836242676
auto part,toaster oven,0.3383297324180603
auto part,toilet paper,0.33784809708595276
auto part,bank,0.337449312210083
auto part,coffee pot,0.3372170627117157
auto part,ballot box,0.3367445468902588
auto part,vegetable,0.3363821804523468
auto part,coverall,0.3359382152557373
auto part,whiteboard,0.33496037125587463
auto part,steering wheel,0.3345712721347809
auto part,matchbox,0.33361703157424927
auto part,sugar cube,0.3326147496700287
auto part,container,0.33237406611442566
auto part,glove,0.33152011036872864
auto part,top hat,0.3312917947769165
auto part,soldering iron,0.3312445878982544
auto part,dumpster,0.3301146626472473
auto part,safety pin,0.3300014138221741
auto part,earring,0.32999205589294434
auto part,truck,0.3299061357975006
auto part,toolbox,0.32967129349708557
auto part,coat rack,0.32952505350112915
auto part,shelf,0.3265155553817749
auto part,cake mix,0.3248496651649475
auto part,defibrillator,0.3227042257785797
auto part,forklift,0.3226855397224426
auto part,egg roll,0.32200509309768677
auto part,dresser,0.32138657569885254
auto part,palm tree,0.3205191195011139
auto part,tea,0.3197421431541443
auto part,french horn,0.31919288635253906
auto part,sweet potato,0.3191164433956146
auto part,workbench,0.3188548684120178
auto part,padlock,0.3188057243824005
auto part,spring roll,0.3173350989818573
auto part,green beans,0.3163093328475952
auto part,roof rack,0.31582221388816833
auto part,tomato sauce,0.3158099353313446
auto part,bird,0.3151976764202118
auto part,aircraft carrier,0.3147684335708618
auto part,microphone,0.3137059807777405
auto part,strainer,0.3136952519416809
auto part,notebook,0.31164246797561646
auto part,exhaust pipe,0.31156492233276367
auto part,lock,0.311562716960907
auto part,polar bear,0.31133875250816345
auto part,sewing machine,0.31019115447998047
auto part,centerpiece,0.30947810411453247
auto part,makeup,0.3085155189037323
auto part,light switch,0.30801671743392944
auto part,watering can,0.30648529529571533
auto part,machine gun,0.30638518929481506
auto part,checkers,0.30585920810699463
auto part,chair,0.3057434856891632
auto part,flower,0.3048943877220154
auto part,bulletproof vest,0.30428948998451233
auto part,plant,0.30413690209388733
auto part,engine,0.30349645018577576
auto part,carriage,0.30326032638549805
auto part,sea urchin,0.30323392152786255
auto part,headlight,0.30216389894485474
auto part,shopping basket,0.3012678623199463
auto part,headband,0.300495445728302
auto part,jump rope,0.30013027787208557
auto part,breadbox,0.29972049593925476
auto part,space shuttle,0.29941612482070923
auto part,button,0.2987404465675354
auto part,first-aid kit,0.29822981357574463
auto part,hash,0.29781007766723633
auto part,chariot,0.29660022258758545
auto part,stretcher,0.29617494344711304
auto part,christmas tree,0.29396355152130127
auto part,smoke alarm,0.2939501404762268
auto part,ship,0.29371166229248047
auto part,drawer,0.29316404461860657
auto part,car,0.29092103242874146
auto part,cookie,0.29014915227890015
auto part,keyboard,0.2889626622200012
auto part,sweeper,0.28783565759658813
auto part,shoe,0.2878261208534241
auto part,toy,0.28750693798065186
auto part,spacesuit,0.28740715980529785
auto part,fishnet stockings,0.2873513698577881
auto part,hook,0.28724542260169983
auto part,wineglass,0.2864452004432678
auto part,toast,0.2840200662612915
auto part,nail,0.2826163172721863
auto part,rocking chair,0.2824699878692627
auto part,dashboard,0.28207018971443176
auto part,locket,0.28187623620033264
auto part,shortbread,0.2809981405735016
auto part,clipper,0.2809363305568695
auto part,patch,0.2799147367477417
auto part,cellphone,0.27900099754333496
auto part,cup,0.27810075879096985
auto part,bus,0.2779238522052765
auto part,domino,0.2777477502822876
auto part,charger,0.27771350741386414
auto part,rearview mirror,0.2773212492465973
auto part,bookshelf,0.277309775352478
auto part,bottle,0.27657267451286316
auto part,pencil sharpener,0.27588915824890137
auto part,potato,0.2749328911304474
auto part,clipboard,0.27433857321739197
auto part,step stool,0.2732686996459961
auto part,clasp,0.27259159088134766
auto part,ball,0.2725694477558136
auto part,toad,0.270476758480072
auto part,wedding cake,0.27035948634147644
auto part,hourglass,0.2701326906681061
auto part,trunk,0.2700132131576538
auto part,blower,0.2693605422973633
auto part,computer,0.26930028200149536
auto part,rocking horse,0.2690029442310333
auto part,smoothie,0.2689761221408844
auto part,stockings,0.26870137453079224
auto part,gun,0.2656473219394684
auto part,chest,0.26481983065605164
auto part,football helmet,0.2647463083267212
auto part,perfume,0.2643825113773346
auto part,magnifying glass,0.2640272080898285
auto part,vacuum,0.26286017894744873
auto part,screw,0.2622484564781189
auto part,birthday cake,0.2620733976364136
auto part,cardinal,0.261419415473938
auto part,mixer,0.2609918713569641
auto part,envelope,0.2607552707195282
auto part,dress,0.26040175557136536
auto part,air pump,0.2601499557495117
auto part,toaster,0.2596348524093628
auto part,pastry,0.25872504711151123
auto part,petri dish,0.2581976056098938
auto part,inhaler,0.25807565450668335
auto part,suit,0.25748738646507263
auto part,fur coat,0.25744104385375977
auto part,backscratcher,0.25642478466033936
auto part,locker,0.25511103868484497
auto part,baseball bat,0.25498437881469727
auto part,organ,0.2549198269844055
auto part,diaper,0.25481441617012024
auto part,binder,0.25463587045669556
auto part,blackberry,0.25452929735183716
auto part,sock,0.25400614738464355
auto part,coil,0.25371024012565613
auto part,brace,0.2523258328437805
auto part,bag,0.25217682123184204
auto part,accordion,0.25176456570625305
auto part,bolo tie,0.2508275508880615
auto part,station wagon,0.25076642632484436
auto part,hearse,0.25066542625427246
auto part,train,0.2502686381340027
auto part,printer,0.2502608299255371
auto part,hot-water bottle,0.25011444091796875
auto part,brush,0.24911747872829437
auto part,footbath,0.24833309650421143
auto part,fruit,0.24808181822299957
auto part,dryer,0.24770018458366394
auto part,subway,0.24763548374176025
auto part,bandage,0.24731716513633728
auto part,paper,0.2463732659816742
auto part,generator,0.24554327130317688
auto part,game,0.24540705978870392
auto part,bug,0.24393384158611298
auto part,tractor,0.24389657378196716
auto part,polo shirt,0.2430574595928192
auto part,breakfast,0.24269498884677887
auto part,chainsaw,0.24256344139575958
auto part,needle,0.2425372153520584
auto part,cereal,0.24236150085926056
auto part,lightbulb,0.24202066659927368
auto part,blueberry,0.24108263850212097
auto part,banana split,0.24080848693847656
auto part,pliers,0.24073928594589233
auto part,frame,0.24066179990768433
auto part,cannonball,0.2403630167245865
auto part,blowgun,0.23954933881759644
auto part,jeans,0.23869286477565765
auto part,table,0.23840488493442535
auto part,catapult,0.23820532858371735
auto part,trumpet,0.23798811435699463
auto part,egg,0.23691920936107635
auto part,cart,0.23691000044345856
auto part,pumpkin,0.23685677349567413
auto part,freezer,0.23639559745788574
auto part,bush,0.2357742339372635
auto part,nail polish,0.23563051223754883
auto part,easter egg,0.23507779836654663
auto part,steamroller,0.23432524502277374
auto part,curling iron,0.23365551233291626
auto part,suitcase,0.23365087807178497
auto part,soy sauce,0.23331990838050842
auto part,motorcycle,0.23315870761871338
auto part,balloon,0.23312529921531677
auto part,hubcap,0.2329126000404358
auto part,lunchbox,0.23276680707931519
auto part,duckling,0.2325441688299179
auto part,inkwell,0.23230582475662231
auto part,shorts,0.23186440765857697
auto part,cracker,0.23116958141326904
auto part,whipped cream,0.23071742057800293
auto part,rolling pin,0.23030492663383484
auto part,paintbrush,0.22936087846755981
auto part,boot,0.22859987616539001
auto part,copier,0.22770848870277405
auto part,beachball,0.22722618281841278
auto part,desk,0.22608952224254608
auto part,tank,0.2254132330417633
auto part,doily,0.22537213563919067
auto part,coat,0.22351397573947906
auto part,wheelchair,0.22323885560035706
auto part,headscarf,0.2231338769197464
auto part,grass,0.22134317457675934
auto part,canoe,0.22093163430690765
auto part,squirt gun,0.2207764834165573
auto part,lip gloss,0.22073304653167725
auto part,backgammon,0.22041495144367218
auto part,boat,0.21978503465652466
auto part,comb,0.21971037983894348
auto part,poster,0.2193147838115692
auto part,bean,0.21923533082008362
auto part,polygraph,0.21864038705825806
auto part,fountain pen,0.2185172438621521
auto part,hatbox,0.21801260113716125
auto part,whoopee cushion,0.21765494346618652
auto part,refrigerator,0.2169678807258606
auto part,cotton candy,0.2167968899011612
auto part,onion,0.2154480218887329
auto part,drum,0.21540476381778717
auto part,pillbox,0.21493375301361084
auto part,scraper,0.21487697958946228
auto part,closet,0.21293625235557556
auto part,dog,0.21276676654815674
auto part,toga,0.21177631616592407
auto part,birdbath,0.21161021292209625
auto part,file,0.2115991711616516
auto part,couch,0.21124881505966187
auto part,macadamia,0.2107139229774475
auto part,staple gun,0.20983314514160156
auto part,doll,0.20810985565185547
auto part,curtain,0.20805960893630981
auto part,bagel,0.20805123448371887
auto part,lectern,0.20687466859817505
auto part,purse,0.20652766525745392
auto part,folder,0.20641565322875977
auto part,calculator,0.20624224841594696
auto part,underwear,0.20612961053848267
auto part,macaroni,0.20549558103084564
auto part,overalls,0.2047436386346817
auto part,pitcher,0.2045072615146637
auto part,chessboard,0.2044525146484375
auto part,cummerbund,0.20427238941192627
auto part,shuffleboard,0.20363913476467133
auto part,spinach,0.20264287292957306
auto part,axe,0.20239688456058502
auto part,switch,0.20206692814826965
auto part,carrot,0.2020409107208252
auto part,piggy bank,0.2017010748386383
auto part,yacht,0.2016078531742096
auto part,zipper,0.20159000158309937
auto part,hairpin,0.20131051540374756
auto part,wheat,0.2005886435508728
auto part,outfit,0.20013728737831116
auto part,catfish,0.19994474947452545
auto part,cat,0.19984783232212067
auto part,goldfish,0.19933167099952698
auto part,key,0.19932526350021362
auto part,wheelbarrow,0.19892628490924835
auto part,chicken wire,0.19814148545265198
auto part,hula hoop,0.1979704648256302
auto part,anteater,0.19731152057647705
auto part,rice,0.19721102714538574
auto part,cooker,0.19643592834472656
auto part,insole,0.1959608644247055
auto part,stained glass,0.19378086924552917
auto part,taxi,0.19346457719802856
auto part,pickax,0.1934603601694107
auto part,sweater,0.19339442253112793
auto part,amplifier,0.19338661432266235
auto part,hot-air balloon,0.19324135780334473
auto part,landmine,0.19322878122329712
auto part,cloak,0.19210702180862427
auto part,nut,0.19197402894496918
auto part,duct,0.1917654424905777
auto part,punch,0.19160501658916473
auto part,mosquito,0.19115735590457916
auto part,bandana,0.19068020582199097
auto part,goose,0.19039282202720642
auto part,swordfish,0.19012805819511414
auto part,mashed potato,0.1901213824748993
auto part,goat,0.19003547728061676
auto part,duffel bag,0.18949511647224426
auto part,coaster,0.1891416609287262
auto part,string cheese,0.1890704184770584
auto part,penlight,0.18880566954612732
auto part,washcloth,0.18810850381851196
auto part,starfish,0.18780368566513062
auto part,statue,0.1874110847711563
auto part,pesto,0.18685568869113922
auto part,bunkbed,0.186794251203537
auto part,triangle,0.18644468486309052
auto part,ice-cream cone,0.18624533712863922
auto part,roadsweeper,0.1858905851840973
auto part,hummingbird,0.18523429334163666
auto part,stool,0.18515631556510925
auto part,appetizer,0.1843402087688446
auto part,raincoat,0.18386176228523254
auto part,bathtub,0.18380795419216156
auto part,doorhandle,0.18365895748138428
auto part,apron,0.182052880525589
auto part,worm,0.18177206814289093
auto part,latch,0.1812390834093094
auto part,gingerbread man,0.18111000955104828
auto part,cream cheese,0.18101398646831512
auto part,rollerblade,0.1807814985513687
auto part,ring,0.18076565861701965
auto part,parsley,0.18057096004486084
auto part,highlighter,0.18047647178173065
auto part,highchair,0.17973464727401733
auto part,odometer,0.1792350560426712
auto part,almond,0.17897546291351318
auto part,windshield wiper,0.1788700371980667
auto part,bed,0.1787145882844925
auto part,flatiron,0.17863711714744568
auto part,strap,0.17826683819293976
auto part,meatball,0.1781572699546814
auto part,shredder,0.1781337857246399
auto part,barrette,0.17790265381336212
auto part,seaweed,0.17723217606544495
auto part,horse,0.17708706855773926
auto part,aquarium,0.1768292486667633
auto part,hoodie,0.17670521140098572
auto part,notepad,0.17626367509365082
auto part,airboat,0.17604821920394897
auto part,wheel,0.17558389902114868
auto part,wasp,0.17557358741760254
auto part,pitchfork,0.17523333430290222
auto part,pillow,0.17438216507434845
auto part,fly,0.17255890369415283
auto part,faucet,0.17247137427330017
auto part,rug,0.17209488153457642
auto part,glue,0.1715846061706543
auto part,stuffing,0.1711459457874298
auto part,camper,0.17085574567317963
auto part,missile,0.17034491896629333
auto part,granola,0.17029163241386414
auto part,anklet,0.16995684802532196
auto part,hotdog,0.16995655000209808
auto part,radish,0.16986334323883057
auto part,bread,0.16949594020843506
auto part,veil,0.16920113563537598
auto part,grasshopper,0.1680627167224884
auto part,cufflink,0.16800133883953094
auto part,guinea pig,0.1678137481212616
auto part,corkscrew,0.16688835620880127
auto part,seatbelt,0.16672071814537048
auto part,birdhouse,0.1666211634874344
auto part,chipmunk,0.16601255536079407
auto part,cockatoo,0.16568341851234436
auto part,bassinet,0.16556784510612488
auto part,vial,0.165541410446167
auto part,soap,0.1651090830564499
auto part,magnifier,0.16422498226165771
auto part,tostada,0.16385066509246826
auto part,crate,0.16372300684452057
auto part,chain,0.1635531485080719
auto part,pinball,0.1633448451757431
auto part,cleaver,0.1631830781698227
auto part,salami,0.1629827916622162
auto part,windshield,0.16215437650680542
auto part,speedboat,0.1619967222213745
auto part,arrow,0.1616593301296234
auto part,tree,0.1615092158317566
auto part,nightstand,0.16114650666713715
auto part,creme brulee,0.1611400544643402
auto part,breadstick,0.16098342835903168
auto part,urn,0.15989676117897034
auto part,submarine,0.1597689539194107
auto part,earwig,0.15976662933826447
auto part,scrambled egg,0.15941289067268372
auto part,strawberry,0.15932969748973846
auto part,mongoose,0.15919320285320282
auto part,bumper,0.1586454063653946
auto part,handkerchief,0.15856066346168518
auto part,curry,0.15803863108158112
auto part,bathrobe,0.15742740035057068
auto part,clothespin,0.15700452029705048
auto part,vase,0.15668609738349915
auto part,clove,0.15648525953292847
auto part,pantsuit,0.1563170701265335
auto part,cordon bleu,0.15628454089164734
auto part,webcam,0.1561037003993988
auto part,pistachio,0.15597979724407196
auto part,beanie,0.15462534129619598
auto part,lingerie,0.15442846715450287
auto part,donut,0.15412069857120514
auto part,calf,0.15406151115894318
auto part,bucket,0.15392571687698364
auto part,tie,0.15329699218273163
auto part,goblet,0.15319101512432098
auto part,bomb,0.15270473062992096
auto part,meatloaf,0.15263891220092773
auto part,laptop,0.15164631605148315
auto part,brass knuckles,0.151589497923851
auto part,pocket,0.15153267979621887
auto part,corset,0.15149790048599243
auto part,raccoon,0.1512703001499176
auto part,hood,0.1510823667049408
auto part,doorknocker,0.1510705053806305
auto part,helmet,0.15042701363563538
auto part,jigsaw puzzle,0.15001234412193298
auto part,dirt bike,0.15000611543655396
auto part,dessert,0.14998741447925568
auto part,paperclip,0.14897550642490387
auto part,jacket,0.14877453446388245
auto part,screwdriver,0.14828456938266754
auto part,weed,0.14751587808132172
auto part,french fries,0.14707323908805847
auto part,loincloth,0.14690473675727844
auto part,orange,0.1468639075756073
auto part,chalkboard,0.14628347754478455
auto part,barnacle,0.14613422751426697
auto part,salad,0.1456547975540161
auto part,airbag,0.14559587836265564
auto part,bowler hat,0.1454753279685974
auto part,bassoon,0.14541789889335632
auto part,timer,0.14491739869117737
auto part,grinder,0.1446177214384079
auto part,yolk,0.14412157237529755
auto part,oven,0.14392438530921936
auto part,beet,0.14390814304351807
auto part,fig,0.14256878197193146
auto part,visor,0.14137552678585052
auto part,maple syrup,0.14097297191619873
auto part,lip balm,0.14071190357208252
auto part,rocket,0.14067310094833374
auto part,popsicle,0.1398066133260727
auto part,hairnet,0.1396723836660385
auto part,groundhog,0.13958331942558289
auto part,firetruck,0.1395087093114853
auto part,corsage,0.13900922238826752
auto part,bear,0.13894447684288025
auto part,berry,0.13885971903800964
auto part,wig,0.1387844681739807
auto part,pin,0.13868065178394318
auto part,beer,0.1384241282939911
auto part,airplane,0.13838690519332886
auto part,brownie,0.13830894231796265
auto part,piecrust,0.13812938332557678
auto part,prune,0.13802999258041382
auto part,wind chimes,0.13787582516670227
auto part,alligator,0.13765355944633484
auto part,brussels sprouts,0.13765260577201843
auto part,shirt,0.13763204216957092
auto part,mulberry,0.13745175302028656
auto part,sifter,0.13741809129714966
auto part,skateboard,0.13733600080013275
auto part,armor,0.13717864453792572
auto part,swimsuit,0.13646189868450165
auto part,pear,0.13607682287693024
auto part,spoon,0.13554494082927704
auto part,cashew,0.1354411095380783
auto part,omelet,0.1354205310344696
auto part,fruitcake,0.13535453379154205
auto part,slipper,0.13518188893795013
auto part,stroller,0.13459499180316925
auto part,ambulance,0.13433103263378143
auto part,pinwheel,0.13402651250362396
auto part,lasagna,0.13400182127952576
auto part,milkshake,0.1338304579257965
auto part,marker,0.1335342973470688
auto part,wallpaper,0.13347329199314117
auto part,raisin,0.1331280916929245
auto part,incubator,0.13300494849681854
auto part,cuckoo clock,0.13300080597400665
auto part,pinecone,0.13299722969532013
auto part,beanbag,0.1328210085630417
auto part,pipe,0.13267603516578674
auto part,scarf,0.1326732188463211
auto part,bench,0.13216564059257507
auto part,teddy bear,0.13161563873291016
auto part,throne,0.130733460187912
auto part,blouse,0.13009987771511078
auto part,screen,0.129942387342453
auto part,praying mantis,0.1298811137676239
auto part,brake,0.1298350840806961
auto part,cake,0.12962323427200317
auto part,boomerang,0.12942661345005035
auto part,drill,0.12921462953090668
auto part,dart,0.1287660151720047
auto part,grain,0.12861263751983643
auto part,skewer,0.12813682854175568
auto part,pants,0.12802352011203766
auto part,buffet,0.12759409844875336
auto part,orchid,0.12736013531684875
auto part,watermelon,0.12719301879405975
auto part,figurine,0.12695179879665375
auto part,swab,0.12651054561138153
auto part,globe,0.1263287365436554
auto part,eggbeater,0.12616987526416779
auto part,cannon,0.12607815861701965
auto part,panties,0.1259467601776123
auto part,chips,0.1258077323436737
auto part,eagle,0.1257007122039795
auto part,jukebox,0.12543928623199463
auto part,pickle,0.1252703070640564
auto part,humvee,0.1250227689743042
auto part,eel,0.1249888613820076
auto part,stamp,0.1249794065952301
auto part,cheetah,0.1247602254152298
auto part,belt,0.12464623153209686
auto part,peeler,0.12454000860452652
auto part,ukulele,0.12426739186048508
auto part,walker,0.12424549460411072
auto part,moose,0.1241830587387085
auto part,birdcage,0.1241680234670639
auto part,robot,0.12376411259174347
auto part,piglet,0.1237066388130188
auto part,parfait,0.12357904016971588
auto part,eclair,0.12349563091993332
auto part,hairbrush,0.12345678359270096
auto part,snack,0.12296489626169205
auto part,cable,0.1221897229552269
auto part,vest,0.12201769649982452
auto part,gearshift,0.12183716893196106
auto part,coop,0.12169008702039719
auto part,slicer,0.12165185064077377
auto part,crown,0.12160387635231018
auto part,beetle,0.12135015428066254
auto part,owl,0.12087991833686829
auto part,mallet,0.12017574161291122
auto part,cello,0.12013325095176697
auto part,jelly bean,0.11906933784484863
auto part,bracket,0.11906394362449646
auto part,cane,0.11904211342334747
auto part,camel,0.11878643184900284
auto part,lampshade,0.11874698102474213
auto part,limousine,0.11871158331632614
auto part,jersey,0.11871050298213959
auto part,terrarium,0.11803656816482544
auto part,coconut,0.1179514229297638
auto part,bell pepper,0.1170564740896225
auto part,cupcake,0.11703063547611237
auto part,gear,0.11481742560863495
auto part,ravioli,0.11474279314279556
auto part,honey,0.11453260481357574
auto part,ladybug,0.1137814149260521
auto part,ink,0.11371158063411713
auto part,peg,0.1137022152543068
auto part,sawhorse,0.11337798833847046
auto part,gumball,0.11271932721138
auto part,mushroom,0.11266975104808807
auto part,ostrich,0.11263879388570786
auto part,toothbrush,0.1125783920288086
auto part,shark,0.11230096220970154
auto part,tupperware,0.11130587756633759
auto part,espresso,0.11069027334451675
auto part,iguana,0.11061031371355057
auto part,tortilla,0.11048756539821625
auto part,parrot,0.11038605868816376
auto part,hinge,0.1093820109963417
auto part,rollerskate,0.10881801694631577
auto part,leek,0.10875400900840759
auto part,noisemaker,0.10866845399141312
auto part,seagull,0.10855933278799057
auto part,television,0.10777432471513748
auto part,panther,0.1075323298573494
auto part,handbrake,0.10743054002523422
auto part,bullet,0.10724501311779022
auto part,lemonade,0.10700155794620514
auto part,casserole,0.10651284456253052
auto part,leech,0.1064533144235611
auto part,tomato,0.10613405704498291
auto part,sarcophagus,0.10540956258773804
auto part,ferry,0.10494790971279144
auto part,minivan,0.10492600500583649
auto part,wrench,0.10477858036756516
auto part,ladle,0.10469595342874527
auto part,sailboat,0.10465127974748611
auto part,tick,0.10459815710783005
auto part,stove,0.10458536446094513
auto part,gauze,0.10440424084663391
auto part,bowl,0.10423101484775543
auto part,stiletto,0.10419224202632904
auto part,waffle iron,0.10409895330667496
auto part,lettuce,0.1039634719491005
auto part,cord,0.1035427451133728
auto part,horn,0.10303662717342377
auto part,fish,0.10302358865737915
auto part,crouton,0.10293346643447876
auto part,popcorn,0.10275811702013016
auto part,noodle,0.10257464647293091
auto part,scalpel,0.1024630218744278
auto part,toothpick,0.1024317741394043
auto part,sandal,0.1023590937256813
auto part,blowtorch,0.1022065207362175
auto part,gyroscope,0.10168270766735077
auto part,flipper,0.1011531800031662
auto part,rifle,0.10072856396436691
auto part,fishbowl,0.10060247033834457
auto part,eggplant,0.10049476474523544
auto part,necklace,0.10045639425516129
auto part,otter,0.1001821756362915
auto part,crossbow,0.10002120584249496
auto part,razor blade,0.09923526644706726
auto part,speedometer,0.09918031096458435
auto part,ant,0.09865884482860565
auto part,artichoke,0.09838660061359406
auto part,bull,0.09826458990573883
auto part,straightjacket,0.09785659611225128
auto part,dishwasher,0.09768038988113403
auto part,doorknob,0.09757205843925476
auto part,fan,0.0975232794880867
auto part,tamale,0.09737258404493332
auto part,squirrel,0.09638434648513794
auto part,saltshaker,0.09608998894691467
auto part,duck,0.09601439535617828
auto part,blowfish,0.09583158791065216
auto part,sunroof,0.09547476470470428
auto part,champagne,0.09490717947483063
auto part,bedpan,0.09459011256694794
auto part,lawnmower,0.0945408046245575
auto part,cougar,0.09421447664499283
auto part,basil,0.0940990075469017
auto part,shears,0.09391669183969498
auto part,grapevine,0.09390889108181
auto part,caterpillar,0.0934801921248436
auto part,cockroach,0.09329952299594879
auto part,hyena,0.09296062588691711
auto part,shaker,0.09289206564426422
auto part,chalk,0.09271713346242905
auto part,pedal,0.0925622433423996
auto part,wetsuit,0.092374287545681
auto part,joystick,0.09228936582803726
auto part,dollhouse,0.09210018813610077
auto part,lighter,0.09207466244697571
auto part,undershirt,0.09205405414104462
auto part,banjo,0.09195153415203094
auto part,oatmeal,0.09131762385368347
auto part,pecan,0.09119875729084015
auto part,cocktail,0.09106438606977463
auto part,pocketknife,0.09101245552301407
auto part,sled,0.0909922644495964
auto part,pigeon,0.09083118289709091
auto part,snowsuit,0.09074866771697998
auto part,hose,0.09047839790582657
auto part,sword,0.09047320485115051
auto part,sauce,0.0902010127902031
auto part,squash,0.09011806547641754
auto part,puppy,0.09002462774515152
auto part,plum,0.0899869054555893
auto part,apple,0.08998352289199829
auto part,wedge,0.08995364606380463
auto part,shawl,0.08993983268737793
auto part,blender,0.08988926559686661
auto part,koala,0.08956906944513321
auto part,beaker,0.08896317332983017
auto part,buckle,0.08889729529619217
auto part,scanner,0.0887591689825058
auto part,kneepad,0.08856607973575592
auto part,sunflower,0.08852441608905792
auto part,cranberry,0.0879267230629921
auto part,taillight,0.08781925588846207
auto part,sardine,0.08769312500953674
auto part,mold,0.08723165094852448
auto part,poinsettia,0.08711591362953186
auto part,snowplow,0.08691105246543884
auto part,biscuit,0.08670201897621155
auto part,cactus,0.08657581359148026
auto part,olive,0.08645229041576385
auto part,lemon,0.08641693741083145
auto part,leggings,0.08616738766431808
auto part,garlic,0.085919588804245
auto part,badger,0.08584421873092651
auto part,nightshirt,0.0857345461845398
auto part,unicycle,0.0851515382528305
auto part,juice,0.08499188721179962
auto part,manatee,0.08473742008209229
auto part,plunger,0.08468228578567505
auto part,pencil,0.08451411128044128
auto part,beaver,0.08434982597827911
auto part,poppy,0.08388662338256836
auto part,anvil,0.08360086381435394
auto part,lanyard,0.08332745730876923
auto part,cardigan,0.08329019695520401
auto part,yo-yo,0.08297299593687057
auto part,chaps,0.0827285423874855
auto part,licorice,0.08249975740909576
auto part,hairdryer,0.08227968961000443
