hyponym,hypernym,prefix,stimulus,hypernymy
hat,home decor,hats are a type of,home decor,False
groundhog,home decor,groundhogs are a type of,home decor,False
handbrake,home decor,handbrakes are a type of,home decor,False
first-aid kit,home decor,first-aid kits are a type of,home decor,False
grass,home decor,grass is a type of,home decor,False
crayfish,home decor,crayfish are a type of,home decor,False
laptop,home decor,laptops are a type of,home decor,False
hot-water bottle,home decor,hot-water bottles are a type of,home decor,False
lampshade,home decor,lampshades are a type of,home decor,True
notepad,home decor,notepads are a type of,home decor,False
clam,home decor,clams are a type of,home decor,False
sunroof,home decor,sunroofs are a type of,home decor,False
bee,home decor,bees are a type of,home decor,False
moccasin,home decor,moccasins are a type of,home decor,False
poinsettia,home decor,poinsettias are a type of,home decor,False
otter,home decor,otters are a type of,home decor,False
whipped cream,home decor,whipped cream is a type of,home decor,False
deer,home decor,deers are a type of,home decor,False
kneepad,home decor,kneepads are a type of,home decor,False
tuba,home decor,tubas are a type of,home decor,False
onion,home decor,onions are a type of,home decor,False
plum,home decor,plums are a type of,home decor,False
cereal,home decor,cereals are a type of,home decor,False
throne,home decor,thrones are a type of,home decor,False
freezer,home decor,freezers are a type of,home decor,False
gingerbread man,home decor,gingerbread men are a type of,home decor,False
marker,home decor,markers are a type of,home decor,False
kimono,home decor,kimonos are a type of,home decor,False
maple syrup,home decor,maple syrup is a type of,home decor,False
sauce,home decor,sauces are a type of,home decor,False
celery,home decor,celeries are a type of,home decor,False
ukulele,home decor,ukuleles are a type of,home decor,False
gyroscope,home decor,gyroscopes are a type of,home decor,False
frame,home decor,frames are a type of,home decor,True
purse,home decor,purses are a type of,home decor,False
marmalade,home decor,marmalade is a type of,home decor,False
lime,home decor,limes are a type of,home decor,False
jeep,home decor,jeeps are a type of,home decor,False
spam,home decor,spam is a type of,home decor,False
funnel,home decor,funnels are a type of,home decor,False
basket,home decor,baskets are a type of,home decor,False
clasp,home decor,clasps are a type of,home decor,False
jetski,home decor,jetskis are a type of,home decor,False
icemaker,home decor,icemakers are a type of,home decor,False
fan,home decor,fans are a type of,home decor,False
mixer,home decor,mixers are a type of,home decor,False
flamingo,home decor,flamingoes are a type of,home decor,False
ladder,home decor,ladders are a type of,home decor,False
asparagus,home decor,asparagus is a type of,home decor,False
grenade,home decor,grenades are a type of,home decor,False
shovel,home decor,shovels are a type of,home decor,False
wire,home decor,wires are a type of,home decor,False
cart,home decor,carts are a type of,home decor,False
scrabble,home decor,scrabble is a type of,home decor,False
measuring cup,home decor,measuring cups are a type of,home decor,False
bed,home decor,beds are a type of,home decor,False
glove,home decor,gloves are a type of,home decor,False
punch,home decor,fruit punches are a type of,home decor,False
noodle,home decor,noodles are a type of,home decor,False
bolt,home decor,bolts are a type of,home decor,False
piglet,home decor,piglets are a type of,home decor,False
blowfish,home decor,blowfish are a type of,home decor,False
tape,home decor,tapes are a type of,home decor,False
faucet,home decor,faucets are a type of,home decor,False
gum,home decor,gums are a type of,home decor,False
calf,home decor,calves are a type of,home decor,False
platypus,home decor,platypuses are a type of,home decor,False
sloth,home decor,sloths are a type of,home decor,False
life jacket,home decor,life jackets are a type of,home decor,False
food processor,home decor,food processors are a type of,home decor,False
vulture,home decor,vultures are a type of,home decor,False
french fries,home decor,french fries are a type of,home decor,False
ant,home decor,ants are a type of,home decor,False
wind chimes,home decor,wind chimes are a type of,home decor,True
anteater,home decor,anteaters are a type of,home decor,False
record player,home decor,record players are a type of,home decor,False
tarantula,home decor,tarantulas are a type of,home decor,False
calamari,home decor,calamari is a type of,home decor,False
terrarium,home decor,terrariums are a type of,home decor,True
vase,home decor,vases are a type of,home decor,True
bat,home decor,bats are a type of,home decor,False
toaster oven,home decor,toaster ovens are a type of,home decor,False
dough,home decor,dough is a type of,home decor,False
abacus,home decor,abacuses are a type of,home decor,True
jellyfish,home decor,jellyfish are a type of,home decor,False
wafer,home decor,wafers are a type of,home decor,False
water filter,home decor,water filters are a type of,home decor,False
puppy,home decor,puppies are a type of,home decor,False
parrot,home decor,parrots are a type of,home decor,False
wheel,home decor,wheels are a type of,home decor,False
hamburger,home decor,hamburgers are a type of,home decor,False
drawer,home decor,drawers are a type of,home decor,False
salad,home decor,salads are a type of,home decor,False
scallion,home decor,scallions are a type of,home decor,False
catfish,home decor,catfish are a type of,home decor,False
bacon,home decor,bacon is a type of,home decor,False
aardvark,home decor,aardvarks are a type of,home decor,False
bolo tie,home decor,bolo ties are a type of,home decor,False
water heater,home decor,water heaters are a type of,home decor,False
piecrust,home decor,piecrusts are a type of,home decor,False
crank,home decor,cranks are a type of,home decor,False
ram,home decor,rams are a type of,home decor,False
roll,home decor,rolls are a type of,home decor,False
bear,home decor,bears are a type of,home decor,False
cot,home decor,cots are a type of,home decor,False
hippopotamus,home decor,hippos are a type of,home decor,False
poodle,home decor,poodles are a type of,home decor,False
ladle,home decor,ladles are a type of,home decor,False
chickpea,home decor,chickpeas are a type of,home decor,False
birdcage,home decor,birdcages are a type of,home decor,True
christmas tree,home decor,christmas trees are a type of,home decor,True
shaker,home decor,shakers are a type of,home decor,False
sarcophagus,home decor,sarcophagi are a type of,home decor,False
boot,home decor,boots are a type of,home decor,False
donkey,home decor,donkeys are a type of,home decor,False
juicer,home decor,juicers are a type of,home decor,False
cotton candy,home decor,cotton candy is a type of,home decor,False
peppermint,home decor,peppermints are a type of,home decor,False
folder,home decor,folders are a type of,home decor,False
slot machine,home decor,slot machines are a type of,home decor,False
hubcap,home decor,hubcaps are a type of,home decor,False
gazelle,home decor,gazelles are a type of,home decor,False
crown,home decor,crowns are a type of,home decor,False
spacesuit,home decor,spacesuits are a type of,home decor,False
dolphin,home decor,dolphins are a type of,home decor,False
cleaver,home decor,cleavers are a type of,home decor,False
octopus,home decor,an octopus is a type of,home decor,False
wedding cake,home decor,wedding cakes are a type of,home decor,False
toast,home decor,toast is a type of,home decor,False
zebra,home decor,zebras are a type of,home decor,False
ginger,home decor,ginger is a type of,home decor,False
souffle,home decor,souffles are a type of,home decor,False
doily,home decor,doilies are a type of,home decor,True
lizard,home decor,lizards are a type of,home decor,False
broccoli,home decor,broccoli is a type of,home decor,False
pinball,home decor,pinballs are a type of,home decor,False
barrette,home decor,barrettes are a type of,home decor,False
rat,home decor,rats are a type of,home decor,False
shoe,home decor,shoes are a type of,home decor,False
star fruit,home decor,star fruits are a type of,home decor,False
washing machine,home decor,washing machines are a type of,home decor,False
earwig,home decor,earwigs are a type of,home decor,False
dynamite,home decor,dynamites are a type of,home decor,False
lego,home decor,legos are a type of,home decor,False
parsley,home decor,parsley is a type of,home decor,False
notebook,home decor,notebooks are a type of,home decor,False
lollipop,home decor,lollipops are a type of,home decor,False
goblet,home decor,goblets are a type of,home decor,False
brownie,home decor,brownies are a type of,home decor,False
doorknocker,home decor,doorknockers are a type of,home decor,True
pitcher,home decor,pitchers are a type of,home decor,False
gasket,home decor,gaskets are a type of,home decor,False
blackberry,home decor,blackberries are a type of,home decor,False
tape recorder,home decor,tape recorders are a type of,home decor,False
chihuahua,home decor,chihuahuas are a type of,home decor,False
locker,home decor,lockers are a type of,home decor,False
file,home decor,files are a type of,home decor,False
rocket,home decor,rockets are a type of,home decor,False
globe,home decor,globes are a type of,home decor,True
badger,home decor,badgers are a type of,home decor,False
hot chocolate,home decor,hot chocolate is a type of,home decor,False
bulldozer,home decor,bulldozers are a type of,home decor,False
fountain pen,home decor,fountain pens are a type of,home decor,False
candy cane,home decor,candy canes are a type of,home decor,False
lamb,home decor,lambs are a type of,home decor,False
parfait,home decor,parfaits are a type of,home decor,False
burner,home decor,burners are a type of,home decor,False
oatmeal,home decor,oatmeal is a type of,home decor,False
coconut,home decor,coconuts are a type of,home decor,False
swordfish,home decor,swordfish are a type of,home decor,False
mustard,home decor,mustard is a type of,home decor,False
suitcase,home decor,suitcases are a type of,home decor,False
reindeer,home decor,reindeers are a type of,home decor,False
mitten,home decor,mittens are a type of,home decor,False
watering can,home decor,watering cans are a type of,home decor,False
turtle,home decor,turtles are a type of,home decor,False
apple tree,home decor,apple trees are a type of,home decor,False
mint,home decor,mint is a type of,home decor,False
sorbet,home decor,sorbets are a type of,home decor,False
locket,home decor,lockets are a type of,home decor,False
watch,home decor,watches are a type of,home decor,False
rack,home decor,racks are a type of,home decor,False
almond,home decor,almonds are a type of,home decor,False
duckling,home decor,ducklings are a type of,home decor,False
cabbage,home decor,cabbages are a type of,home decor,False
tongs,home decor,tongs are a type of,home decor,False
popsicle,home decor,popsicles are a type of,home decor,False
crab,home decor,crabs are a type of,home decor,False
chessboard,home decor,chessboards are a type of,home decor,False
lock,home decor,locks are a type of,home decor,False
egg,home decor,eggs are a type of,home decor,False
eel,home decor,eels are a type of,home decor,False
hotplate,home decor,hotplates are a type of,home decor,False
cockroach,home decor,cockroaches are a type of,home decor,False
nail clippers,home decor,nail clippers are a type of,home decor,False
bison,home decor,bisons are a type of,home decor,False
doorhandle,home decor,doorhandles are a type of,home decor,False
incubator,home decor,incubators are a type of,home decor,False
hose,home decor,hoses are a type of,home decor,False
urn,home decor,urns are a type of,home decor,False
wreath,home decor,wreaths are a type of,home decor,True
mallet,home decor,mallets are a type of,home decor,False
switch,home decor,switches are a type of,home decor,False
revolver,home decor,revolvers are a type of,home decor,False
curtain,home decor,curtains are a type of,home decor,True
ice-cream cone,home decor,ice-cream cones are a type of,home decor,False
tape measure,home decor,tape measures are a type of,home decor,False
camper,home decor,campers are a type of,home decor,False
tree,home decor,trees are a type of,home decor,False
weasel,home decor,weasels are a type of,home decor,False
warthog,home decor,warthogs are a type of,home decor,False
bin,home decor,bins are a type of,home decor,False
music box,home decor,music boxes are a type of,home decor,False
peeler,home decor,peelers are a type of,home decor,False
grinder,home decor,grinders are a type of,home decor,False
scissors,home decor,scissors are a type of,home decor,False
squirrel,home decor,squirrels are a type of,home decor,False
shopping basket,home decor,shopping baskets are a type of,home decor,False
shawl,home decor,shawls are a type of,home decor,False
headlight,home decor,headlights are a type of,home decor,False
airboat,home decor,airboats are a type of,home decor,False
step stool,home decor,step stools are a type of,home decor,False
glasses,home decor,glasses are a type of,home decor,False
cupcake,home decor,cupcakes are a type of,home decor,False
goose,home decor,geese are a type of,home decor,False
knob,home decor,knobs are a type of,home decor,False
cantaloupe,home decor,cantaloupes are a type of,home decor,False
tiara,home decor,tiaras are a type of,home decor,False
squash,home decor,squash is a type of,home decor,False
grasshopper,home decor,grasshoppers are a type of,home decor,False
pomegranate,home decor,pomegranates are a type of,home decor,False
raccoon,home decor,raccoons are a type of,home decor,False
candle,home decor,candles are a type of,home decor,True
car door,home decor,car doors are a type of,home decor,False
lawnmower,home decor,lawnmowers are a type of,home decor,False
eraser,home decor,erasers are a type of,home decor,False
mongoose,home decor,mongooses are a type of,home decor,False
water bottle,home decor,water bottles are a type of,home decor,False
horse,home decor,horses are a type of,home decor,False
peanut butter,home decor,peanut butter is a type of,home decor,False
cup,home decor,cups are a type of,home decor,False
sprouts,home decor,sprouts are a type of,home decor,False
hairbrush,home decor,a hairbrush is a type of,home decor,False
wasp,home decor,wasps are a type of,home decor,False
barrel,home decor,barrels are a type of,home decor,False
sandal,home decor,sandals are a type of,home decor,False
polisher,home decor,polishers are a type of,home decor,False
binder,home decor,binders are a type of,home decor,False
slipper,home decor,slippers are a type of,home decor,False
eggbeater,home decor,eggbeaters are a type of,home decor,False
crowbar,home decor,crowbars are a type of,home decor,False
grapefruit,home decor,grapefruits are a type of,home decor,False
barnacle,home decor,barnacles are a type of,home decor,False
icepick,home decor,icepicks are a type of,home decor,False
helmet,home decor,helmets are a type of,home decor,False
torpedo,home decor,torpedoes are a type of,home decor,False
microphone,home decor,microphones are a type of,home decor,False
glue,home decor,glue is a type of,home decor,False
dryer,home decor,dryers are a type of,home decor,False
mashed potato,home decor,mashed potatoes are a type of,home decor,False
lunchbox,home decor,lunchboxes are a type of,home decor,False
chisel,home decor,chisels are a type of,home decor,False
lasagna,home decor,lasagna is a type of,home decor,False
rose,home decor,roses are a type of,home decor,False
fruit,home decor,fruits are a type of,home decor,False
clipper,home decor,clippers are a type of,home decor,False
squid,home decor,squids are a type of,home decor,False
cooker,home decor,cookers are a type of,home decor,False
potato,home decor,potatoes are a type of,home decor,False
scone,home decor,scones are a type of,home decor,False
bracelet,home decor,bracelets are a type of,home decor,False
balloon,home decor,balloons are a type of,home decor,False
baklava,home decor,baklavas are a type of,home decor,False
hearse,home decor,hearses are a type of,home decor,False
jar,home decor,jars are a type of,home decor,False
hinge,home decor,hinges are a type of,home decor,False
pineapple,home decor,pineapples are a type of,home decor,False
yo-yo,home decor,yo-yos are a type of,home decor,False
cardinal,home decor,cardinals are a type of,home decor,False
soldering iron,home decor,soldering irons are a type of,home decor,False
eclair,home decor,eclairs are a type of,home decor,False
jukebox,home decor,jukeboxes are a type of,home decor,False
kettle,home decor,kettles are a type of,home decor,False
chipmunk,home decor,chipmunks are a type of,home decor,False
muffin,home decor,muffins are a type of,home decor,False
gorilla,home decor,gorillas are a type of,home decor,False
valve,home decor,valves are a type of,home decor,False
jam,home decor,jams are a type of,home decor,False
breadstick,home decor,breadsticks are a type of,home decor,False
fishbowl,home decor,fishbowls are a type of,home decor,False
biscuit,home decor,biscuits are a type of,home decor,False
button,home decor,buttons are a type of,home decor,False
chariot,home decor,chariots are a type of,home decor,False
spring roll,home decor,spring rolls are a type of,home decor,False
hedge,home decor,hedges are a type of,home decor,False
lion,home decor,lions are a type of,home decor,False
puffin,home decor,puffins are a type of,home decor,False
pencil,home decor,pencils are a type of,home decor,False
worm,home decor,worms are a type of,home decor,False
envelope,home decor,envelopes are a type of,home decor,False
bush,home decor,bushes are a type of,home decor,False
chest,home decor,chests are a type of,home decor,False
ivy,home decor,ivy is a type of,home decor,False
kangaroo,home decor,kangaroos are a type of,home decor,False
coat rack,home decor,coat racks are a type of,home decor,False
robot,home decor,robots are a type of,home decor,False
printer,home decor,printers are a type of,home decor,False
guinea pig,home decor,guinea pigs are a type of,home decor,False
oyster,home decor,oysters are a type of,home decor,False
brooch,home decor,brooches are a type of,home decor,False
coverall,home decor,coveralls are a type of,home decor,False
raspberry,home decor,raspberries are a type of,home decor,False
airplane,home decor,airplanes are a type of,home decor,False
lightbulb,home decor,lightbulbs are a type of,home decor,False
corkscrew,home decor,corkscrews are a type of,home decor,False
blender,home decor,blenders are a type of,home decor,False
polar bear,home decor,polar bears are a type of,home decor,False
drum,home decor,drums are a type of,home decor,False
bull,home decor,bulls are a type of,home decor,False
crate,home decor,crates are a type of,home decor,False
casserole,home decor,casseroles are a type of,home decor,False
hoe,home decor,hoes are a type of,home decor,False
speedboat,home decor,speedboats are a type of,home decor,False
ready meal,home decor,ready meals are a type of,home decor,False
piano,home decor,pianos are a type of,home decor,False
refrigerator,home decor,refrigerators are a type of,home decor,False
hummingbird,home decor,hummingbirds are a type of,home decor,False
electric chair,home decor,electric chairs are a type of,home decor,False
clothes,home decor,clothes are a type of,home decor,False
pocketknife,home decor,pocketknives are a type of,home decor,False
jacket,home decor,jackets are a type of,home decor,False
lobster,home decor,lobsters are a type of,home decor,False
lettuce,home decor,a lettuce is a type of,home decor,False
cobra,home decor,cobras are a type of,home decor,False
mailbox,home decor,mailboxes are a type of,home decor,False
cauliflower,home decor,cauliflowers are a type of,home decor,False
shredder,home decor,shredders are a type of,home decor,False
scallop,home decor,scallops are a type of,home decor,False
train,home decor,trains are a type of,home decor,False
eye patch,home decor,eye patches are a type of,home decor,False
pigeon,home decor,pigeons are a type of,home decor,False
pelican,home decor,pelicans are a type of,home decor,False
monkey,home decor,monkeys are a type of,home decor,False
pitchfork,home decor,pitchforks are a type of,home decor,False
pig,home decor,pigs are a type of,home decor,False
table,home decor,tables are a type of,home decor,False
gondola,home decor,gondolas are a type of,home decor,False
crepe,home decor,crepes are a type of,home decor,False
flower,home decor,flowers are a type of,home decor,False
chair,home decor,chairs are a type of,home decor,False
spatula,home decor,spatulas are a type of,home decor,False
brussels sprouts,home decor,brussels sprouts are a type of,home decor,False
spinach,home decor,spinach is a type of,home decor,False
subway,home decor,subways are a type of,home decor,False
paper bag,home decor,paper bags are a type of,home decor,False
toothbrush,home decor,toothbrushes are a type of,home decor,False
hummus,home decor,hummus is a type of,home decor,False
figurine,home decor,figurines are a type of,home decor,True
weed,home decor,weeds are a type of,home decor,False
paper,home decor,paper is a type of,home decor,False
snack,home decor,snacks are a type of,home decor,False
baseball bat,home decor,baseball bats are a type of,home decor,False
calzone,home decor,calzones are a type of,home decor,False
ferret,home decor,ferrets are a type of,home decor,False
nightstand,home decor,nightstands are a type of,home decor,False
wheelchair,home decor,wheelchairs are a type of,home decor,False
margarita,home decor,margaritas are a type of,home decor,False
patty,home decor,patties are a type of,home decor,False
okra,home decor,okra is a type of,home decor,False
paintbrush,home decor,paintbrushes are a type of,home decor,False
plunger,home decor,plungers are a type of,home decor,False
rearview mirror,home decor,rearview mirrors are a type of,home decor,False
corn,home decor,corn is a type of,home decor,False
hyena,home decor,hyenas are a type of,home decor,False
seal,home decor,seals are a type of,home decor,False
sewing machine,home decor,sewing machines are a type of,home decor,False
fig,home decor,figs are a type of,home decor,False
cookie,home decor,cookies are a type of,home decor,False
dessert,home decor,desserts are a type of,home decor,False
ketchup,home decor,ketchup is a type of,home decor,False
meat,home decor,meat is a type of,home decor,False
cockatoo,home decor,cockatoos are a type of,home decor,False
top hat,home decor,top hats are a type of,home decor,False
gopher,home decor,gophers are a type of,home decor,False
dog,home decor,dogs are a type of,home decor,False
cape,home decor,capes are a type of,home decor,False
belt,home decor,belts are a type of,home decor,False
taillight,home decor,taillights are a type of,home decor,False
orange,home decor,oranges are a type of,home decor,False
blowgun,home decor,blowguns are a type of,home decor,False
remote control,home decor,remote controls are a type of,home decor,False
pencil sharpener,home decor,pencil sharpeners are a type of,home decor,False
possum,home decor,possums are a type of,home decor,False
accordion,home decor,accordions are a type of,home decor,False
beachball,home decor,beachballs are a type of,home decor,False
rooster,home decor,roosters are a type of,home decor,False
goat,home decor,goats are a type of,home decor,False
skirt,home decor,skirts are a type of,home decor,False
gumball,home decor,gumballs are a type of,home decor,False
thumbtack,home decor,thumbtacks are a type of,home decor,False
avocado,home decor,avocados are a type of,home decor,False
clove,home decor,cloves are a type of,home decor,False
seaweed,home decor,seaweeds are a type of,home decor,False
taffy,home decor,taffy is a type of,home decor,False
turkey,home decor,turkeys are a type of,home decor,False
stew,home decor,stew is a type of,home decor,False
frog,home decor,frogs are a type of,home decor,False
raft,home decor,rafts are a type of,home decor,False
filing cabinet,home decor,filing cabinets are a type of,home decor,False
stroller,home decor,strollers are a type of,home decor,False
palm tree,home decor,palm trees are a type of,home decor,False
apple,home decor,apples are a type of,home decor,False
pepper mill,home decor,pepper mills are a type of,home decor,False
ladybug,home decor,ladybugs are a type of,home decor,False
kayak,home decor,kayaks are a type of,home decor,False
fur coat,home decor,fur coats are a type of,home decor,False
kebab,home decor,kebabs are a type of,home decor,False
honeypot,home decor,honeypots are a type of,home decor,False
tamale,home decor,tamales are a type of,home decor,False
rollerskate,home decor,rollerskates are a type of,home decor,False
sauerkraut,home decor,sauerkraut is a type of,home decor,False
sheep,home decor,sheeps are a type of,home decor,False
beetle,home decor,beetles are a type of,home decor,False
goldfish,home decor,goldfish are a type of,home decor,False
seagull,home decor,seagulls are a type of,home decor,False
coil,home decor,coils are a type of,home decor,False
sundae,home decor,sundaes are a type of,home decor,False
enchilada,home decor,enchiladas are a type of,home decor,False
checkers,home decor,checkers are a type of,home decor,False
cannon,home decor,cannons are a type of,home decor,False
quill,home decor,quills are a type of,home decor,False
giraffe,home decor,giraffes are a type of,home decor,False
sock,home decor,socks are a type of,home decor,False
microwave,home decor,microwaves are a type of,home decor,False
pedal,home decor,pedals are a type of,home decor,False
llama,home decor,llamas are a type of,home decor,False
mold,home decor,molds are a type of,home decor,False
polygraph,home decor,polygraphs are a type of,home decor,False
beet,home decor,beets are a type of,home decor,False
raisin,home decor,raisins are a type of,home decor,False
string cheese,home decor,string cheese is a type of,home decor,False
submarine,home decor,submarines are a type of,home decor,False
ball,home decor,balls are a type of,home decor,False
stockings,home decor,stockings are a type of,home decor,False
timer,home decor,timers are a type of,home decor,False
flamethrower,home decor,flamethrowers are a type of,home decor,False
air mattress,home decor,air mattresses are a type of,home decor,False
kiwi,home decor,kiwis are a type of,home decor,False
jackhammer,home decor,jackhammers are a type of,home decor,False
cannonball,home decor,cannonballs are a type of,home decor,False
ambulance,home decor,ambulances are a type of,home decor,False
trumpet,home decor,trumpets are a type of,home decor,False
breakfast,home decor,breakfasts are a type of,home decor,False
batter,home decor,batters are a type of,home decor,False
penlight,home decor,penlights are a type of,home decor,False
raincoat,home decor,raincoats are a type of,home decor,False
pudding,home decor,pudding is a type of,home decor,False
sandbag,home decor,sandbags are a type of,home decor,False
scarecrow,home decor,scarecrows are a type of,home decor,True
nutcracker,home decor,nutcrackers are a type of,home decor,False
rabbit,home decor,rabbits are a type of,home decor,False
hairpin,home decor,hairpins are a type of,home decor,False
sickle,home decor,sickles are a type of,home decor,False
modem,home decor,modems are a type of,home decor,False
curry,home decor,curry is a type of,home decor,False
grain,home decor,grains are a type of,home decor,False
pistachio,home decor,pistachios are a type of,home decor,False
pliers,home decor,pliers are a type of,home decor,False
donut,home decor,donuts are a type of,home decor,False
poppy,home decor,poppies are a type of,home decor,False
insole,home decor,insoles are a type of,home decor,False
sardine,home decor,sardines are a type of,home decor,False
cheetah,home decor,cheetahs are a type of,home decor,False
bedpan,home decor,bedpans are a type of,home decor,False
pug,home decor,pugs are a type of,home decor,False
costume,home decor,costumes are a type of,home decor,False
gear,home decor,gears are a type of,home decor,False
engine,home decor,engines are a type of,home decor,False
coyote,home decor,coyotes are a type of,home decor,False
book,home decor,books are a type of,home decor,False
toy,home decor,toys are a type of,home decor,False
toad,home decor,toads are a type of,home decor,False
ink,home decor,ink is a type of,home decor,False
caterpillar,home decor,caterpillars are a type of,home decor,False
gravy,home decor,gravy is a type of,home decor,False
coral,home decor,corals are a type of,home decor,False
quiche,home decor,quiches are a type of,home decor,False
axe,home decor,axes are a type of,home decor,False
grits,home decor,grits are a type of,home decor,False
