conclusion_,premise_,conclusion,premise,is_hyper,sim,prompt,label,position,score
snake,animal,snakes,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that snakes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8493075370788574
bumper,vehicle,bumpers,vehicles,no,high,"Answer the question. Given that vehicles are daxable, is it true that bumpers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.6824766993522644
breadstick,food,breadsticks,food,yes,high,"Answer the question. Given that food is daxable, is it true that breadsticks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7816197872161865
highlighter,game,highlighters,games,no,high,"Answer the question. Given that games are daxable, is it true that highlighters are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.8598496317863464
brass knuckles,tool,brass knuckles,tools,no,high,"Answer the question. Given that tools are daxable, is it true that brass knuckles are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.7657904028892517
cactus,plant,cactus,plants,yes,high,"Answer the question. Given that plants are daxable, is it true that a cactus is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (22, 24))",0.8321245908737183
dip,breakfast,dip,breakfasts,no,high,"Answer the question. Given that breakfasts are daxable, is it true that dip is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 14), (24, 24))",0.8753105401992798
shelf,furniture,shelves,furniture,yes,high,"Answer the question. Given that furniture is daxable, is it true that shelves are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.7006655335426331
snake,insect,snakes,insects,no,high,"Answer the question. Given that insects are daxable, is it true that snakes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8890345096588135
camcorder,electronic device,camcorders,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that camcorders are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7631503343582153
teddy bear,animal,teddy bears,animals,no,high,"Answer the question. Given that animals are daxable, is it true that teddy bears are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.5122460126876831
gavel,musical instrument,gavels,musical instruments,no,high,"Answer the question. Given that musical instruments are daxable, is it true that gavels are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.6914167404174805
tomato sauce,food,tomato sauce,food,yes,high,"Answer the question. Given that food is daxable, is it true that tomato sauce is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7782876491546631
lobster,food,lobsters,food,yes,high,"Answer the question. Given that food is daxable, is it true that lobsters are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.6314752101898193
camper,water vehicle,campers,water vehicles,no,high,"Answer the question. Given that water vehicles are daxable, is it true that campers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8518275618553162
candelabra,home decor,candelabras,home decor,yes,high,"Answer the question. Given that home decor is daxable, is it true that candelabras are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.5706799626350403
turtle,tool,turtles,tools,no,low,"Answer the question. Given that tools are daxable, is it true that turtles are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.09772323817014694
chocolate,food,chocolates,food,yes,high,"Answer the question. Given that food is daxable, is it true that chocolates are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7405863404273987
dishwasher,kitchen equipment,dishwashers,kitchen equipment,yes,high,"Answer the question. Given that kitchen equipment is daxable, is it true that dishwashers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.8774941563606262
checkers,animal,checkers,animals,no,low,"Answer the question. Given that animals are daxable, is it true that checkers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.11954646557569504
polisher,food,polishers,food,no,low,"Answer the question. Given that food is daxable, is it true that polishers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.1504991054534912
box,animal,boxes,animals,no,low,"Answer the question. Given that animals are daxable, is it true that boxes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.1179744303226471
jam,weapon,jams,weapons,no,low,"Answer the question. Given that weapons are daxable, is it true that jams are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.12657217681407928
cabinet,container,cabinets,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that cabinets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.5887157917022705
cooker,kitchen equipment,cookers,kitchen equipment,yes,high,"Answer the question. Given that kitchen equipment is daxable, is it true that cookers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8886160254478455
aquarium,home decor,aquariums,home decor,yes,low,"Answer the question. Given that home decor is daxable, is it true that aquariums are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.4466419816017151
peanut butter,water vehicle,peanut butter,water vehicles,no,low,"Answer the question. Given that water vehicles are daxable, is it true that peanut butter is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 11), (21, 24))",0.10023406147956848
star fruit,headwear,star fruits,headwear,no,low,"Answer the question. Given that headwear is daxable, is it true that star fruits are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.15604348480701447
seaweed,animal,seaweeds,animals,no,high,"Answer the question. Given that animals are daxable, is it true that seaweeds are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.5636898875236511
canoe,vehicle,canoes,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that canoes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8105995655059814
organ,musical instrument,organs,musical instruments,yes,high,"Answer the question. Given that musical instruments are daxable, is it true that organs are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8390563726425171
grenade,weapon,grenades,weapons,yes,high,"Answer the question. Given that weapons are daxable, is it true that grenades are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7478095293045044
mussel,food,mussels,food,yes,high,"Answer the question. Given that food is daxable, is it true that mussels are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.6936340928077698
trident,tool,tridents,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that tridents are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7984226942062378
wallet,container,wallets,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that wallets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.43757060170173645
highlighter,office supply,highlighters,office supplies,yes,high,"Answer the question. Given that office supplies are daxable, is it true that highlighters are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.6799885034561157
cornucopia,home decor,cornucopias,home decor,yes,low,"Answer the question. Given that home decor is daxable, is it true that cornucopias are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.3214828073978424
unicycle,animal,unicycles,animals,no,low,"Answer the question. Given that animals are daxable, is it true that unicycles are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.11774256825447083
rose,plant,roses,plants,yes,high,"Answer the question. Given that plants are daxable, is it true that roses are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8761183619499207
shelf,container,shelves,containers,no,high,"Answer the question. Given that containers are daxable, is it true that shelves are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.7440103888511658
catfish,mammal,catfish,mammals,no,high,"Answer the question. Given that mammals are daxable, is it true that catfish are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.841060221195221
parfait,dessert,parfaits,desserts,yes,high,"Answer the question. Given that desserts are daxable, is it true that parfaits are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.9066379070281982
cherry,fruit,cherries,fruits,yes,high,"Answer the question. Given that fruits are daxable, is it true that cherries are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8383107781410217
hammer,fastener,hammers,fasteners,no,high,"Answer the question. Given that fasteners are daxable, is it true that hammers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 12), (22, 24))",0.7096964716911316
banana split,food,banana splits,food,yes,high,"Answer the question. Given that food is daxable, is it true that banana splits are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.7766806483268738
pear,food,pears,food,yes,high,"Answer the question. Given that food is daxable, is it true that pears are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7699462175369263
sombrero,headwear,sombreros,headwear,yes,high,"Answer the question. Given that headwear is daxable, is it true that sombreros are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.8151716589927673
kitten,container,kittens,containers,no,low,"Answer the question. Given that containers are daxable, is it true that kittens are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.1130887046456337
lamp,animal,lamps,animals,no,low,"Answer the question. Given that animals are daxable, is it true that lamps are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.1195414811372757
wheelchair,medical equipment,wheelchairs,medical equipment,yes,high,"Answer the question. Given that medical equipment is daxable, is it true that wheelchairs are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.6472861766815186
headdress,accessory,headdresses,accessories,yes,low,"Answer the question. Given that accessories are daxable, is it true that headdresses are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.6802312731742859
parsley,plant,parsley,plants,yes,high,"Answer the question. Given that plants are daxable, is it true that parsley is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.9545855522155762
basket,container,baskets,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that baskets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.5249106884002686
soup,clothing,soups,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that soups are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.15978525578975677
jetski,water vehicle,jetskis,water vehicles,yes,high,"Answer the question. Given that water vehicles are daxable, is it true that jetskis are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.946503758430481
baseball bat,tool,baseball bats,tools,no,high,"Answer the question. Given that tools are daxable, is it true that baseball bats are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.7246049642562866
fish,sea animal,fish,sea animals,yes,high,"Answer the question. Given that sea animals are daxable, is it true that fish are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 14), (24, 24))",0.8734735250473022
pita,food,pita,food,yes,high,"Answer the question. Given that food is daxable, is it true that pita is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7800583839416504
overalls,outerwear,overalls,outerwear,yes,high,"Answer the question. Given that outerwear is daxable, is it true that overalls are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8838919997215271
broccoli,fruit,broccoli,fruits,no,high,"Answer the question. Given that fruits are daxable, is it true that broccoli is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.8731243014335632
smoothie,dessert,smoothies,desserts,no,high,"Answer the question. Given that desserts are daxable, is it true that smoothies are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8663857579231262
