premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
electronic device,lamp,yes,0.5971947312355042,high,electronic devices,lamps
kitchen tool,alligator,no,0.09812223166227341,low,kitchen tools,alligators
mammal,cobra,no,0.8812094926834106,high,mammals,cobras
kitchen equipment,mixer,yes,0.8631983399391174,high,kitchen equipment,mixers
weapon,lamb chop,no,0.1236976683139801,low,weapons,lamb chops
drink,punch,no,0.9250391125679016,high,drinks,fruit punches
container,school bus,no,0.7611202597618103,high,containers,school buses
tool,cable,yes,0.692362904548645,high,tools,cables
game,frog,no,0.1196615919470787,low,games,frogs
animal,blowfish,yes,0.8023301959037781,high,animals,blowfish
seafood,seaweed,yes,0.6345075964927673,high,seafood,seaweeds
breakfast,strap,no,0.10857529938220978,low,breakfasts,straps
musical instrument,organ,yes,0.8390563726425171,high,musical instruments,organs
container,steamroller,no,0.7120050191879272,high,containers,steamrollers
garden tool,machete,no,0.881168782711029,high,garden tools,machetes
toy,teddy bear,yes,0.8596497774124146,high,toys,teddy bears
kitchen equipment,kettle,no,0.8356481790542603,high,kitchen equipment,kettles
auto part,train,no,0.8293439745903015,high,auto parts,trains
accessory,bracelet,yes,0.7091734409332275,low,accessories,bracelets
food,stew,yes,0.805324912071228,high,food,stew
sea animal,spark plug,no,0.10396209359169006,low,sea animals,spark plugs
home decor,kaleidoscope,no,0.5730743408203125,high,home decor,kaleidoscopes
animal,eraser,no,0.11581312119960785,low,animals,erasers
food,roof rack,no,0.1385868638753891,low,food,roof racks
food,sugar cube,yes,0.6791685819625854,high,food,sugar cubes
fastener,belt buckle,yes,0.6134374141693115,low,fasteners,belt buckles
dessert,face mask,no,0.09363140910863876,low,desserts,face masks
mammal,fox,yes,0.923321545124054,high,mammals,foxes
accessory,corsage,yes,0.6080008745193481,low,accessories,corsages
container,train,no,0.8042141199111938,high,containers,trains
dessert,tiramisu,yes,0.8512309193611145,high,desserts,tiramisu
electronic device,screen,yes,0.7738398909568787,high,electronic devices,screens
school supply,backpack,yes,0.296389102935791,high,school supplies,backpacks
food,chili,yes,0.800981342792511,high,food,chilies
medical equipment,kneepad,no,0.6321768164634705,high,medical equipment,kneepads
tool,clothespin,no,0.8068053126335144,high,tools,clothespins
fruit,chive,no,0.8815630674362183,high,fruits,chives
vehicle,hearse,yes,0.8644039034843445,high,vehicles,hearses
tool,eyedropper,no,0.7946327328681946,high,tools,eyedroppers
vegetable,guacamole,no,0.8688028454780579,high,vegetables,guacamole
dessert,cookie,yes,0.8155775666236877,low,desserts,cookies
bird,cardinal,yes,0.9297813177108765,high,birds,cardinals
electronic device,accordion,no,0.681089460849762,high,electronic devices,accordions
mammal,alpaca,yes,0.9234716892242432,high,mammals,alpacas
mammal,glass,no,0.0997810885310173,low,mammals,glasses
seafood,quesadilla,no,0.8432407975196838,high,seafood,quesadillas
clothing,sombrero,yes,0.6708686947822571,high,clothing,sombreros
tool,crowbar,yes,0.8398613929748535,high,tools,crowbars
animal,bonsai,no,0.45654726028442383,high,animals,bonsai
food,grass,no,0.43860289454460144,high,food,grass
footwear,stiletto,yes,0.9379103779792786,high,footwear,stilettoes
drink,syrup,no,0.9185012578964233,high,drinks,syrups
clothing,french fries,no,0.15500475466251373,low,clothing,french fries
kitchen equipment,toaster,yes,0.8736957311630249,high,kitchen equipment,toasters
mammal,engine,no,0.09999401122331619,low,mammals,engines
weapon,sickle,no,0.7706454396247864,high,weapons,sickles
food,blender,no,0.5590407252311707,high,food,blenders
bird,chick,yes,0.9046517610549927,high,birds,chicks
toiletry,nail polish,no,0.7889260053634644,high,toiletries,nail polish
food,jukebox,no,0.13892589509487152,low,food,jukeboxes
food,cherry,yes,0.7483731508255005,high,food,cherries
fruit,pomegranate,yes,0.8740435242652893,high,fruits,pomegranates
electronic device,sheep,no,0.11201915889978409,low,electronic devices,sheeps
fruit,blackberry,yes,0.8940734267234802,high,fruits,blackberries
condiment,gravy,yes,0.7857799530029297,low,condiments,gravy
electronic device,remote control,yes,0.7378570437431335,high,electronic devices,remote controls
protective clothing,bulletproof vest,no,0.8221014142036438,high,protective clothing,bulletproof vests
food,hairbrush,no,0.13355866074562073,low,food,hairbrush
food,velcro,no,0.14054691791534424,low,food,velcros
footwear,ski boots,no,0.9376888871192932,high,footwear,ski boots
food,enchilada,yes,0.8154999017715454,high,food,enchiladas
office supply,stapler,yes,0.7372382283210754,high,office supplies,staplers
vehicle,hot-air balloon,yes,0.5928497314453125,high,vehicles,hot-air balloons
weapon,hatchet,no,0.7558900713920593,high,weapons,hatchets
toy,lego,yes,0.8570749759674072,high,toys,legos
fruit,star fruit,yes,0.8775597214698792,high,fruits,star fruits
container,oilcan,yes,0.627299964427948,low,containers,oilcans
drink,wine,yes,0.95179682970047,high,drinks,wines
toiletry,cougar,no,0.12988969683647156,low,toiletries,cougars
animal,crow,yes,0.8761405944824219,high,animals,crows
insect,wasp,yes,0.9400237798690796,high,insects,wasps
food,corn,yes,0.7968012094497681,high,food,corn
fastener,staple,yes,0.6667001843452454,low,fasteners,staples
tool,saw,yes,0.9255711436271667,high,tools,saws
school supply,eyeliner,no,0.7381284236907959,high,school supplies,eyeliners
electronic device,dishwasher,yes,0.8047212362289429,high,electronic devices,dishwashers
kitchen equipment,icemaker,yes,0.744229257106781,high,kitchen equipment,icemakers
animal,odometer,no,0.116683229804039,low,animals,odometers
container,bottle,yes,0.3577491343021393,low,containers,bottles
food,smoothie,no,0.7286425828933716,high,food,smoothies
sea animal,blowfish,yes,0.858742356300354,high,sea animals,blowfish
food,seaweed,yes,0.47923555970191956,high,food,seaweeds
food,water bottle,no,0.424256294965744,high,food,water bottles
sea animal,fishbowl,no,0.8403482437133789,high,sea animals,fishbowls
accessory,lanyard,yes,0.6165265440940857,low,accessories,lanyards
school supply,ink,yes,0.6720848679542542,high,school supplies,ink
vegetable,squash,yes,0.8462167978286743,high,vegetables,squash
animal,knife,no,0.12414657324552536,low,animals,knives
food,trumpet,no,0.1267573982477188,low,food,trumpets
container,truck,no,0.8649730682373047,high,containers,trucks
container,doghouse,yes,0.6964618563652039,high,containers,doghouses
office supply,nail file,no,0.7004284858703613,high,office supplies,nail files
animal,harmonica,no,0.12290928512811661,low,animals,harmonicas
insect,snake,no,0.8890345096588135,high,insects,snakes
candy,peppermint,yes,0.9025236964225769,high,candy,peppermints
plant,clipper,no,0.8959349393844604,high,plants,clippers
drink,bulldozer,no,0.11608941853046417,low,drinks,bulldozers
outerwear,cape,yes,0.8472297191619873,high,outerwear,capes
